pair_index,near_left,near_right,near_lcp,near_collaborative_cosine,near_frequency_bins,far_left,far_right,far_lcp,far_collaborative_cosine,far_frequency_bins,near_score_correlation,far_score_correlation,correlation_excess
32,B0000536M2,B000Z43P80,2,0.0,2|3,B000FH4T3M,B008148R8E,0,0.0,2|3,0.9724060827306863,0.6636367131313129,0.3087693695993734
33,B00013YZ7U,B001ET77NY,2,0.0,2|3,B001E96MUI,B002B4GGUG,0,0.0,2|3,0.9690936003322032,0.5817709591819377,0.3873226411502655
34,B000ZV5SLK,B004GFR3GY,2,0.0,2|3,B000F5AG5E,B00EHWP67E,0,0.0,2|3,0.9310659486382344,-0.4932364852607934,1.4243024338990278
35,B0082D69H0,B0082D9SUK,5,0.0,2|3,B006HWGSEM,B00GYB1ECW,0,0.0,2|3,0.9879931553494262,0.0015375618305712017,0.986455593518855
36,B003ZUOCN8,B0057UPOJ0,2,0.0,1|2,B003YELGF2,B004FKNYWW,0,0.0,1|2,0.9503216411806484,0.178072179741962,0.7722494614386864
37,B003Y57G7I,B0050RY36K,2,0.0,1|2,B0009EXOP0,B001D0CWQG,0,0.0,1|2,0.8933959018966876,0.6295310293831057,0.2638648725135819
38,B0007CXWWY,B00AWLB9I4,2,0.0,1|4,B000RGZK02,B001PLOCVG,0,0.0,1|4,0.6156764149445325,0.5263591924849366,0.08931722245959595
39,B00008MNZH,B00BGBUQXS,2,0.0,1|3,B0041ERPPE,B0060HOOA4,0,0.0,1|3,0.9261073445814831,0.0005107579954126913,0.9255965865860705
40,B000L9YYTS,B000WBBHXG,2,0.0,2|4,B000VBDWQC,B000VQEQXA,0,0.0,2|4,0.5164845805935072,0.4916716733193823,0.02481290727412494
41,B003VMZYSC,B004NN0FIW,2,0.0,1|2,B000VUYHSU,B008JVZMDM,0,0.0,1|2,0.9662285998913267,0.21089377969881767,0.755334820192509
42,B0009PVV4A,B001T0HHBK,4,0.0,2|2,B001183N9K,B009GYVMAS,0,0.0,2|2,0.9560834525683933,0.4605838573870837,0.49549959518130965
