sample_key,user_id,target_group,history_length,competitive_steps,full_legal_ce,best_removal_improvement,oldest_removal_improvement,most_recent_removal_improvement,oracle_advantage_over_oldest,has_harmful_passage
A103PIRYKWQKR7:6:B008LQXR82,A103PIRYKWQKR7,head,6,3,0.7417846545577049,0.05693126966555917,-0.019250457485516903,-0.41154663202663255,0.07618172715107607,1
A10566TEP2SO6I:16:B00020LYBC,A10566TEP2SO6I,tail,16,3,0.307480829845493,0.05271551007172093,-0.006122710842949686,-0.07499135168230475,0.058838220914670614,1
A108UJC8MQ0REU:8:B003WFKOSS,A108UJC8MQ0REU,head,8,3,2.0187179644053685,0.10381650934383901,0.024597843776670514,-0.01616652809631569,0.0792186655671685,1
A10CGTF3GZ2V65:9:B0043BYOO0,A10CGTF3GZ2V65,head,9,4,1.5316313030198216,0.2055609286762774,-0.038333906792104244,-0.28271294943988323,0.24389483546838164,1
A113YFEZBA50IM:6:B006WAJM1A,A113YFEZBA50IM,head,6,3,1.1363353431224823,0.07032809406518936,0.07032809406518936,0.06988761574029922,0.0,1
A117PQAH6ZLJ97:10:B004J6MVOE,A117PQAH6ZLJ97,tail,10,4,1.2382517456367168,0.024933129682267463,-0.02243405579974933,-0.024207025798204995,0.047367185482016794,0
A11L3YX5WIDKJ:21:B006EP74CC,A11L3YX5WIDKJ,tail,20,5,0.3202014435402816,0.054780456284061085,0.054780456284061085,-0.8113057436741655,0.0,1
A12QYV3ARZX9TA:6:B008C0O4Q6,A12QYV3ARZX9TA,tail,6,3,2.737197001775106,0.14625024795532227,-0.04471715291341116,-0.7536509831746416,0.19096740086873343,1
A13IYU3X81J084:7:B00C6PWXDY,A13IYU3X81J084,tail,7,3,0.13879152092461786,0.018814769573509707,-0.0038369004614651203,-2.4191775624640286,0.022651670034974827,0
A13MZ8L5DC4JHC:7:B004DK6BRE,A13MZ8L5DC4JHC,tail,7,4,1.0851074869278818,0.08454303332837299,-0.15527208452112973,0.08454303332837299,0.2398151178495027,1
A13QFODY9LMFDB:7:B000KMHBFA,A13QFODY9LMFDB,head,7,4,1.623078990727663,0.17639217153191566,-0.008068971335887909,-0.4493451230227947,0.18446114286780357,1
A13S5N7Z997HSO:6:B004EMQF4U,A13S5N7Z997HSO,tail,6,4,2.085006535053253,0.18656828999519348,-0.21490171551704407,-0.41861170530319214,0.40147000551223755,1
A13WEKTB63G78Y:9:B008E1912A,A13WEKTB63G78Y,tail,9,3,2.1811007255043173,0.04489497454051161,-0.07964094125054544,-0.22895526936554234,0.12453591579105705,0
A14X244VGHWPSX:25:B00857SREQ,A14X244VGHWPSX,head,20,4,0.9988814813941644,0.03884291636541093,-0.004024848297376593,-0.16018786293670928,0.04286776466278752,0
A153RS9Z63XYB7:5:B000F9ZG3M,A153RS9Z63XYB7,tail,5,3,2.8611489137013755,0.17031796773274754,-0.08980981508890773,0.17031796773274754,0.2601277828216553,1
A15CL28ALB7MTZ:7:B0083TXZHU,A15CL28ALB7MTZ,head,7,4,1.4282306875102222,0.05655045353341848,-0.03330827166792005,0.03363892198467511,0.08985872520133853,1
A15JPYV0L19RF:7:B003R1V90Y,A15JPYV0L19RF,head,7,4,0.12263263098429888,0.03706530617637327,-0.005648839913192205,0.03706530617637327,0.042714146089565475,0
A167KPMW1NBZJW:26:B00CQDGYKO,A167KPMW1NBZJW,tail,20,4,1.1461030368009233,0.07297577201097738,0.030411577403356205,-0.171064891757851,0.042564194607621175,1
A175TVQLNLP30:8:B00134PM7I,A175TVQLNLP30,head,8,3,1.7849587003389995,0.0809365908304851,0.059898555278778076,-1.1873434980710347,0.021038035551707024,1
A17LDDK445B990:14:B0007V1LTG,A17LDDK445B990,tail,14,4,0.8207020679255947,0.08512210811022669,-0.025498960952972993,0.07429612658597762,0.11062106906319968,1
A17NX7T7DW6KL2:12:B00C81LYH2,A17NX7T7DW6KL2,head,12,4,1.4438117384561338,0.023756775830406696,-0.04232045845128596,-0.12610894115641713,0.06607723428169265,0
A17QT4N3ANAXW:12:B004KZ8P2Q,A17QT4N3ANAXW,head,12,4,2.076966021209955,0.19195564836263657,-0.18813403323292732,-0.22782812640070915,0.3800896815955639,1
A17V2N0N8CXSA9:18:B0037NMWC6,A17V2N0N8CXSA9,tail,18,4,2.3874763511121273,0.2049271035939455,0.006766553968191147,0.016524430364370346,0.19816054962575436,1
A17XTU7OH5HOA0:5:B0083WQQ82,A17XTU7OH5HOA0,tail,5,3,0.36465546178321046,0.014204155653715134,0.014204155653715134,-0.12101812288165092,0.0,0
A185CY2CVBKRWD:9:B00160HTYI,A185CY2CVBKRWD,head,9,3,1.9060541813572247,0.2766308858990669,-0.026596399645010704,0.2766308858990669,0.30322728554407763,1
A1893YSU7AX0FE:9:B006EFMSSM,A1893YSU7AX0FE,head,9,4,1.0936189526692033,0.09540377138182521,-0.06052455026656389,-0.35480270767584443,0.1559283216483891,1
A18HZCWRMROOOO:5:B00008X35U,A18HZCWRMROOOO,tail,5,3,2.5909220576286316,0.32093320290247584,0.025547365347544204,-0.15014969309171056,0.29538583755493164,1
A18RMGZO7XVL48:5:B000084JMG,A18RMGZO7XVL48,head,5,4,0.21035375239625864,0.0322956721402079,0.030356189314261428,-2.119841753707078,0.0019394828259464703,0
A18W7078NJ56LL:6:B00025EIZG,A18W7078NJ56LL,tail,6,4,2.2136484310030937,0.1644497588276863,-0.05114412307739258,-0.3254462629556656,0.2155938819050789,1
A190HFGLY5BKSN:7:B002S52VU2,A190HFGLY5BKSN,head,7,3,2.078546166419983,0.09094013770421339,-0.20112737019856786,0.02136707305908203,0.29206750790278124,1
A191AMOO5QYHPC:6:B003SRGOXY,A191AMOO5QYHPC,tail,6,3,0.5906462868037275,0.09888271490770723,0.06452312071966537,-0.565428434407219,0.03435959418804185,1
A191KCBQAOA98R:8:B003F82NTK,A191KCBQAOA98R,tail,8,3,2.0464522739251456,0.11162559191385912,-0.09813613692919398,-0.4996356268723803,0.2097617288430531,1
A19BOGDWQPM1R3:7:B007R3NTME,A19BOGDWQPM1R3,tail,7,3,4.060070355733235,0.24540066967407848,0.1335944036642709,-0.45173889646927545,0.11180626600980759,1
A19FRW264WZTGP:9:B000ZPF8PC,A19FRW264WZTGP,tail,9,3,2.501479466756185,0.12865082422892282,-0.030315955479939483,0.12865082422892282,0.1589667797088623,1
A19GJX6TTSK0C0:11:B008B68J2Q,A19GJX6TTSK0C0,head,11,5,0.5099805280915234,0.1534883125102851,0.003304736642149919,0.1534883125102851,0.1501835758681352,1
A19WB4OO3EF0MM:32:B00000JIVS,A19WB4OO3EF0MM,head,20,4,0.37209486961364746,0.08969312347471714,-0.016340889036655426,-0.1943527515977621,0.10603401251137257,1
A19WEEGB05YAZ3:24:B00CKH9NS6,A19WEEGB05YAZ3,head,20,4,1.0019687292473236,0.02258066174221085,-0.003100446577036564,-0.024010468504002347,0.025681108319247414,0
A19XNAQ2TG01QW:11:B008DBZBUC,A19XNAQ2TG01QW,head,11,6,0.12008665314351674,0.009555870796854535,0.006496227092914822,-0.47157909720651026,0.003059643703939713,0
