user,stratum,history_length,lp_current,lp_metadata_first_full,lp_metadata_first_minus_all_recovered,lp_metadata_first_minus_recovered_slice8,lp_metadata_first_minus_matched_visible_slice8,net_reallocation,recovered_all_contribution,residual_layout_effect,recovered_slice8_contribution,matched_visible_slice8_contribution
A25TXSIR8Y3UVP,tail_hit,4,-0.31407368183135986,-0.5074918270111084,-0.47081422805786133,-0.5005488395690918,-0.493408739566803,-0.19341814517974854,-0.03667759895324707,-0.15674054622650146,-0.0069429874420166016,-0.01408308744430542
AHCB4316MB6UM,tail_hit,6,-0.9338075518608093,-1.2500611543655396,-1.3469622135162354,-1.2793627977371216,-1.3042091131210327,-0.3162536025047302,0.0969010591506958,-0.413154661655426,0.02930164337158203,0.054147958755493164
A1C0W201MKSOZY,tail_hit,4,-0.7375912666320801,-1.958740234375,-1.9934498071670532,-1.9623534679412842,-1.9483133554458618,-1.22114896774292,0.03470957279205322,-1.2558585405349731,0.0036132335662841797,-0.010426878929138184
AMGW8SB0S2B72,tail_hit,6,-1.5179100036621094,-3.3802599906921387,-3.2733676433563232,-3.3646035194396973,-3.2665088176727295,-1.8623499870300293,-0.10689234733581543,-1.7554576396942139,-0.015656471252441406,-0.11375117301940918
ARE1X8Z9127UW,tail_hit,5,-0.2434488832950592,-0.25209933519363403,-0.2528674602508545,-0.25233203172683716,-0.24623262882232666,-0.008650451898574829,0.000768125057220459,-0.009418576955795288,0.000232696533203125,-0.005866706371307373
A2XMO247S0NBJ0,tail_hit,4,-0.3849300146102905,-0.7621935606002808,-0.7773196697235107,-0.7609391212463379,-0.7199899554252625,-0.37726354598999023,0.01512610912322998,-0.3923896551132202,-0.001254439353942871,-0.04220360517501831
A33VUWZDC1Z0I5,tail_hit,3,-1.26436448097229,-2.1735522747039795,-2.2052931785583496,-2.180983304977417,-2.174694061279297,-0.9091877937316895,0.03174090385437012,-0.9409286975860596,0.0074310302734375,0.0011417865753173828
A2AWNEMZO6BZX7,tail_hit,3,-1.0073750019073486,-0.9372838735580444,-1.0314610004425049,-0.9997995495796204,-0.9483981132507324,0.0700911283493042,0.09417712688446045,-0.02408599853515625,0.06251567602157593,0.011114239692687988
A14AJAMALII28Q,tail_hit,3,-1.059966802597046,-1.1778879165649414,-1.4529714584350586,-1.1834889650344849,-1.2245514392852783,-0.11792111396789551,0.2750835418701172,-0.3930046558380127,0.005601048469543457,0.046663522720336914
A2Y87U9VKGRAAW,tail_hit,8,-0.07096727192401886,-0.10310746729373932,-0.08234299719333649,-0.09844069927930832,-0.09675072878599167,-0.03214019536972046,-0.020764470100402832,-0.011375725269317627,-0.004666768014431,-0.00635673850774765
A2PIGZCDGM4NJ7,tail_hit,3,-0.003828073386102915,-1.8946164846420288,-1.8763198852539062,-1.8431389331817627,-2.033205270767212,-1.890788411255926,-0.01829659938812256,-1.8724918118678033,-0.05147755146026611,0.1385887861251831
A1ZIDT0XJA10IR,tail_hit,3,-0.27754807472229004,-5.804854393005371,-5.593901634216309,-5.623848915100098,-5.6311516761779785,-5.527306318283081,-0.2109527587890625,-5.3163535594940186,-0.18100547790527344,-0.17370271682739258
A3U0S17XYK8XMJ,tail_hit,14,-1.2083699703216553,-1.2221466302871704,-1.149185061454773,-1.1531836986541748,-1.2422900199890137,-0.013776659965515137,-0.07296156883239746,0.059184908866882324,-0.0689629316329956,0.02014338970184326
A36SJGHQRKW92R,tail_hit,3,-0.28649666905403137,-0.15886031091213226,-0.16921928524971008,-0.16421964764595032,-0.15278227627277374,0.1276363581418991,0.01035897433757782,0.11727738380432129,0.005359336733818054,-0.0060780346393585205
A19OB162NGPFV4,tail_hit,3,-0.9023737907409668,-2.551769971847534,-2.5169925689697266,-2.5634303092956543,-2.5646004676818848,-1.6493961811065674,-0.03477740287780762,-1.6146187782287598,0.011660337448120117,0.012830495834350586
A1P5KXK4E68DBI,tail_hit,3,-0.16989412903785706,-0.9647847414016724,-0.8325217366218567,-0.9442594647407532,-0.8087716102600098,-0.7948906123638153,-0.13226300477981567,-0.6626276075839996,-0.02052527666091919,-0.1560131311416626
A1LYDMJ55BBQJB,tail_hit,3,-1.0216872692108154,-0.952292799949646,-0.9788814783096313,-0.9698421359062195,-0.9566295742988586,0.06939446926116943,0.02658867835998535,0.04280579090118408,0.017549335956573486,0.0043367743492126465
A37XBQWYQ1N1FF,tail_hit,12,-1.0341147184371948,-0.6368252038955688,-0.6219804883003235,-0.6483513712882996,-0.6324835419654846,0.397289514541626,-0.014844715595245361,0.41213423013687134,0.011526167392730713,-0.0043416619300842285
A2NYHXSYSAKGI9,tail_hit,4,-1.3085064888000488,-1.23035728931427,-1.2773239612579346,-1.2384406328201294,-1.2124590873718262,0.07814919948577881,0.04696667194366455,0.031182527542114258,0.008083343505859375,-0.017898201942443848
A1Y6T2Y0G307A8,tail_hit,3,-0.26329880952835083,-1.1187835931777954,-1.0922284126281738,-1.1611088514328003,-1.15190589427948,-0.8554847836494446,-0.026555180549621582,-0.828929603099823,0.04232525825500488,0.03312230110168457
A3EOR8KDVSEIPC,tail_hit,3,-0.7120044231414795,-2.591531276702881,-2.5169625282287598,-2.568455457687378,-2.5379862785339355,-1.8795268535614014,-0.0745687484741211,-1.8049581050872803,-0.02307581901550293,-0.05354499816894531
A2M1863O652DNZ,tail_hit,3,-1.1751872301101685,-1.3475005626678467,-1.346222162246704,-1.3508285284042358,-1.3421179056167603,-0.17231333255767822,-0.0012784004211425781,-0.17103493213653564,0.00332796573638916,-0.005382657051086426
A3J0Q0HXJ24NHE,tail_hit,6,-0.5090042352676392,-1.368779182434082,-1.442897081375122,-1.3720035552978516,-1.373552918434143,-0.8597749471664429,0.07411789894104004,-0.9338928461074829,0.0032243728637695312,0.004773736000061035
A6879F1Z2OQVX,tail_hit,4,-0.9700934886932373,-0.8166986107826233,-0.8126764893531799,-0.8167912364006042,-0.8183682560920715,0.153394877910614,-0.004022121429443359,0.15741699934005737,9.262561798095703e-05,0.0016696453094482422
AECUU0SL4L6TH,tail_hit,3,-1.367405891418457,-1.5549354553222656,-1.6279125213623047,-1.5266764163970947,-1.5742541551589966,-0.1875295639038086,0.07297706604003906,-0.26050662994384766,-0.0282590389251709,0.019318699836730957
A1J496W6UVEYB2,tail_hit,4,-0.5247522592544556,-0.7816480994224548,-0.6748389601707458,-0.7413687109947205,-0.765631377696991,-0.25689584016799927,-0.10680913925170898,-0.15008670091629028,-0.040279388427734375,-0.016016721725463867
A3U9LCXD8K2036,tail_hit,3,-0.7440112829208374,-1.6621828079223633,-1.5446045398712158,-1.6262133121490479,-1.6531574726104736,-0.9181715250015259,-0.11757826805114746,-0.8005932569503784,-0.03596949577331543,-0.009025335311889648
A1IQ2BN84E9QA1,tail_hit,5,-0.5751146078109741,-0.6507329940795898,-0.6370440125465393,-0.6764111518859863,-0.6929795145988464,-0.07561838626861572,-0.013688981533050537,-0.061929404735565186,0.025678157806396484,0.04224652051925659
