dataset,sample_key,prefix,legal_children,teacher_mass_error
Toys,A267TZ9RXEOUFU:2:B00DW58ENU,0 467 1476 7081 27307 10875,7,0.0
Toys,A267YDFDZKKQWN:6:B001AYYA7E,0 19819,15,0.0
Toys,A269WG8C9O2B0C:3:B000GIL2DU,0 14527 2264 7022,3,0.0
Toys,A2701UXI8QGRHE:2:B005UWYK22,0 740 9931,44,0.0
Toys,A27UGQK54EF3MJ:5:B00CBT7NIK,0 1871 1861 14406 1125 9050,2,0.0
Toys,A28BUET3I8UH96:1:B0001YNLJW,0 3186 14018,25,0.0
Toys,A28BV2W5BO5KFU:3:B006CD202A,0 1041 18612,15,0.0
Toys,A28JP9DX106FQD:1:B004478GIS,0 14295,44,5.960464477539063e-08
Toys,A28PHO540GK9US:18:B001DZOG1U,0 14295 6330 7390,2,0.0
Toys,A28PHO540GK9US:21:B00B0DW9KU,0 17582 2198,25,1.1920928955078125e-07
Toys,A29HCH8AZRNH90:14:B004XPIQIQ,0 2100 4605,27,0.0
Toys,A2A5IS27B68PTN:1:B0007YDBLE,0 21677,25,1.1920928955078125e-07
Toys,A2AHGR1EMFXB1E:2:B009NFFZH6,0 3203 9052,21,0.0
Toys,A2AYJJAFNSGSU1:63:B004P5O8I6,0 2948,27,0.0
Toys,A2BQ60C7U39UDG:2:B001JK4MRM,0,30,0.0
Toys,A2BSAB56O2Z9L4:1:B004A8ZRBA,0 2100 1073 540,3,0.0
Toys,A2BZ16RKE13PKV:46:B00ARQW0M8,0 467,24,1.1920928955078125e-07
Toys,A2C5V5VRE1FK3W:6:B001ENIVJY,0 17582 1464 8453,2,0.0
Toys,A2C94BC2A52GZU:1:B0009PAMY0,0,30,0.0
Toys,A2CT2SA6KFE8GC:1:B004S6EAYY,0,30,0.0
Toys,A2DYU822H8N22X:2:B003BKR8N8,0 2948 4672 7619,2,0.0
Toys,A2EDTVVR9IFNLW:9:B00BG8F0IW,0 467,24,5.960464477539063e-08
Toys,A2GWI8ETASAKJS:11:B007RTAR64,0 14527 5612,35,0.0
Toys,A2HWCL2JV6FW0A:2:B0034E81U0,0,30,0.0
Toys,A2IX78SEP2XHA:8:B001UHBDE4,0 14527 11773 5612,2,0.0
Toys,A2JB3U70NTYSOD:2:B005A54XF8,0 740 2095,18,0.0
Toys,A2KDVBSUDTG8WQ:15:B00000IW2S,0,30,0.0
