item,path,parent,train_freq,beam_count,lp0,lp_last,lp_last_parent_centered,exposure_amplification
B002M78DR6,1871 8719 10159 6382 1861,1871 8719 10159 6382,9,45,-20.27938461303711,-17.17404556274414,0.0,-0.4143078266755733
B002M78DRG,1871 8719 3605 18660 2406,1871 8719 3605 18660,8,12,-19.28818702697754,-17.48443603515625,0.0,-1.5950658732139988
B002M78DRQ,4183 6399 14508 5239 1460,4183 6399 14508 5239,22,117,-21.558727264404297,-16.409374237060547,0.0,-0.3278053296521435
B002M78DSK,4183 5507 7368 21899 6159,4183 5507 7368 21899,12,20,-21.588451385498047,-19.10848045349121,0.0,-1.4860321121898767
B002M78DSU,17582 1228 3875 15391 22876,17582 1228 3875 15391,6,4,-21.521915435791016,-19.657020568847656,0.0,-2.348453134151301
B002M8RK2O,3203 799 18330 16595 6255,3203 799 18330 16595,4,14,-22.239803314208984,-18.180879592895508,0.0,-0.8106571013757282
B002M8V06Q,3203 799 8874 11207 2674 536,3203 799 8874 11207 2674,7,34,-23.12603187561035,-22.80401039123535,0.09349441528320312,-0.4546720505309345
B002MCZ5TU,26190 440 29848 7975 8745,26190 440 29848 7975,3,7,-20.66773796081543,-17.43663787841797,0.0,-1.2185883019790857
B002MCZ87Y,740 9013 9190 9461 12294,740 9013 9190 9461,4,9,-22.356597900390625,-22.319843292236328,0.0,-1.2335139521957625
B002MFIXFU,2948 2816 8882 9502 1313,2948 2816 8882 9502,3,4,-21.30032730102539,-13.70800495147705,0.0,-1.7294139257450762
B002MKP4AW,387 5989 9728 2026 12646,387 5989 9728 2026,10,0,-16.848241806030273,-13.557201385498047,0.0,-5.025250791749407
B002MLALOK,2244 12647 3523 1938 11100,2244 12647 3523 1938,8,14,-23.65393829345703,-20.400327682495117,0.0,-1.4466458680957253
B002MNWESY,14351 9707 7097 23348 16683,14351 9707 7097 23348,5,14,-21.445266723632812,-20.41905975341797,0.0,-1.0113277968378789
B002MQ7MK6,3203 20527 6732 23074 18250,3203 20527 6732 23074,3,16,-27.4194393157959,-28.598875045776367,0.0,-0.43013094161481646
B002MQDR8C,2100 1073 1608 18705 146,2100 1073 1608 18705,5,7,-19.510841369628906,-7.652898788452148,0.0,-1.670573425722143
B002MUALIC,467 1476 22377 5271 21077,467 1476 22377 5271,6,24,-25.4453067779541,-28.084932327270508,0.0,-0.653857413376894
B002MUALIM,467 1476 21622 16752 2195 632,467 1476 21622 16752 2195,9,113,-21.659990310668945,-11.976341247558594,0.24791193008422852,0.499782684288979
B002MUANJE,14295 4232 4257 7002 629,14295 4232 4257 7002,21,351,-21.167339324951172,-18.3292293548584,0.0,0.8134284220911185
