sample_key,user_id,target_group,competitive_steps,max_illegal_mass,mean_loss_gap
A1VS1LL905P5L5:2:B001ECQ4IU,A1VS1LL905P5L5,head,3,0.010344922542572021,0.005963643391927083
A1VW9L2KWNUURJ:6:B001B7GJ2E,A1VW9L2KWNUURJ,head,3,0.21398764848709106,0.08469676971435547
A1W1LIV96JTQYB:1:B003VMFITM,A1W1LIV96JTQYB,head,4,0.06389051675796509,0.029892683029174805
A1W31W7O8D5EW:18:B001P24VEI,A1W31W7O8D5EW,tail,3,0.010435521602630615,0.0035125414530436196
A1W9OSF4ZWL94R:28:B00IIBB7A0,A1W9OSF4ZWL94R,tail,3,0.06228935718536377,0.02272208531697591
A1WSQ0QRWQC7VI:11:B005TI7LB4,A1WSQ0QRWQC7VI,head,3,0.043037474155426025,0.021569252014160156
A1WVJM12WMSQUP:1:B000GCQ04C,A1WVJM12WMSQUP,head,2,0.10956138372421265,0.06434154510498047
A1X3ESYZ79H59E:46:B00AE07FUE,A1X3ESYZ79H59E,head,2,0.006748199462890625,0.006611824035644531
A1XT88DDXPWSZC:1:B000TMM2PU,A1XT88DDXPWSZC,tail,3,0.20943939685821533,0.11872577667236328
A1YEMA3KHCVSEZ:9:B00154P3QQ,A1YEMA3KHCVSEZ,tail,2,0.14225631952285767,0.0818328857421875
A1YW778P40UHY1:12:B003SYYEG6,A1YW778P40UHY1,tail,2,0.17015373706817627,0.10303449630737305
A1YYAPEP1NB5IE:1:B0013I57BA,A1YYAPEP1NB5IE,tail,3,0.3364686369895935,0.1424554189046224
A1ZONPVLYPO1MT:5:B00DAYGJVW,A1ZONPVLYPO1MT,tail,2,0.15220409631729126,0.08822822570800781
A1ZPQSWQQQQOD9:3:B005UKZAJG,A1ZPQSWQQQQOD9,head,3,0.0003547072410583496,0.0002586046854654948
A1ZU7OB46I1BF7:1:B0076LCCYI,A1ZU7OB46I1BF7,tail,2,0.013762295246124268,0.010823726654052734
A200Z8R9KMMYYB:6:B006FRS9O6,A200Z8R9KMMYYB,head,3,0.05986815690994263,0.04163233439127604
A205I2954VFOPL:2:B00JPK2K0Y,A205I2954VFOPL,tail,3,0.010324239730834961,0.004870891571044922
A20G13ME9ZEAEH:1:B002BAXNOM,A20G13ME9ZEAEH,tail,2,0.1324847936630249,0.07967853546142578
A20HKT7NCHNR65:16:B000VPPUEA,A20HKT7NCHNR65,head,3,0.16663646697998047,0.06615002950032552
A20KRCLKEI4K09:1:B001LR3NPK,A20KRCLKEI4K09,tail,2,0.13760077953338623,0.0806884765625
A20O485VWFS63S:2:B001KYS1YM,A20O485VWFS63S,head,3,0.08894938230514526,0.038480122884114586
A20WE91H9BE7K7:2:B004MMUGY2,A20WE91H9BE7K7,tail,3,0.15065675973892212,0.060137033462524414
A211TLT6IJQDKX:3:B006FN587Q,A211TLT6IJQDKX,tail,2,0.22862201929092407,0.13471698760986328
A216IDOSTSO8OO:5:B006U420FS,A216IDOSTSO8OO,tail,4,0.11986994743347168,0.03590989112854004
A218EGMCY396CG:3:B002LYU3IM,A218EGMCY396CG,tail,2,0.014819800853729248,0.007465362548828125
A21C05ZSO2HH09:5:B004L18FY2,A21C05ZSO2HH09,tail,3,0.9659674167633057,1.1557849248250325
A21CZIJ7LXR1A1:1:B001AN0UTC,A21CZIJ7LXR1A1,head,5,0.21686458587646484,0.054586601257324216
A21U99WZ6JQG1K:2:B0035LCSCO,A21U99WZ6JQG1K,tail,3,0.13772737979888916,0.05510902404785156
A21VGNU5959O85:38:B00EYZY5VC,A21VGNU5959O85,head,2,0.02649623155593872,0.01800823211669922
A228NL6M5TLOAL:1:B000NPWQU4,A228NL6M5TLOAL,tail,3,0.09215670824050903,0.04676516850789388
A22AGOPQYGHN8J:4:B000JF9Q1U,A22AGOPQYGHN8J,tail,4,0.11260479688644409,0.0335843563079834
A22KF5KPBPD872:14:B007RTR9E2,A22KF5KPBPD872,head,2,0.07060301303863525,0.04321098327636719
A22KMCKYE5KQ2X:26:B004BCT7G6,A22KMCKYE5KQ2X,head,3,0.16583651304244995,0.06621233622233073
A22QOZZLLIMW6I:5:B005UBN5AQ,A22QOZZLLIMW6I,head,3,0.11288571357727051,0.04601891835530599
A2319UZ54A8WGL:20:B000NRQ89M,A2319UZ54A8WGL,tail,2,0.16451650857925415,0.09780693054199219
A23Q04IFN5S86:1:B0030O3VRW,A23Q04IFN5S86,head,2,0.06643140316009521,0.041858673095703125
A23UA9TNKZ6SB9:5:B00028OU5Q,A23UA9TNKZ6SB9,tail,2,0.1499210000038147,0.08895683288574219
A23YAZJ4GB50ND:2:B0000YUXI0,A23YAZJ4GB50ND,head,3,0.26689112186431885,0.10892295837402344
A248N0W6X1UYC4:2:B004Z40048,A248N0W6X1UYC4,head,3,0.021466195583343506,0.01344458262125651
A24H7H89DXSYTI:5:B007L8QLU2,A24H7H89DXSYTI,tail,3,0.03625917434692383,0.015118598937988281
A24P8GCVTOTHTL:2:B001JQLNMS,A24P8GCVTOTHTL,head,3,0.006748199462890625,0.00344085693359375
A24X7HDKJBRKWP:9:B00JL2TURM,A24X7HDKJBRKWP,head,4,0.003389298915863037,0.0009546279907226562
A252I3QCQMTYAF:2:B002KFR628,A252I3QCQMTYAF,tail,3,0.001791238784790039,0.0006397167841593424
A255S4FUADBMZ0:5:B002XQ1YT0,A255S4FUADBMZ0,head,3,0.1657227873802185,0.06798537572224934
A259HHYBP6ZNJ3:4:B001LF4G6W,A259HHYBP6ZNJ3,head,3,0.007700681686401367,0.0054187774658203125
A25C2M3QF9G7OQ:8:B007K449EC,A25C2M3QF9G7OQ,head,2,0.024565041065216064,0.015802383422851562
A25C5MVVCIYT5D:5:B000K7E2G6,A25C5MVVCIYT5D,head,2,0.011280834674835205,0.010590553283691406
A25IAK8H6WSMPI:3:B00KAL5JAU,A25IAK8H6WSMPI,head,2,0.003309488296508789,0.0016655921936035156
A25L8QGPEWJOAU:3:B0042WIHNY,A25L8QGPEWJOAU,tail,3,0.26263779401779175,0.10512224833170573
A26BDXG9KVH7SU:1:B00AE07CRA,A26BDXG9KVH7SU,head,3,0.02433067560195923,0.016352335611979168
A26FJTNC1Q9BPH:1:B000FVCNEK,A26FJTNC1Q9BPH,tail,4,0.3420226573944092,0.12110614776611328
A26UBKWWLIY3IB:4:B005H1541C,A26UBKWWLIY3IB,tail,4,0.17256635427474976,0.05519890785217285
A27493GW3TEX65:2:B000674Z8A,A27493GW3TEX65,tail,2,0.31019705533981323,0.19314002990722656
A27E44IWS3B7VD:16:B004Q8GYES,A27E44IWS3B7VD,head,3,0.10157400369644165,0.038683573404947914
A27JEXFUYR4EVI:1:B002ERZIPY,A27JEXFUYR4EVI,tail,2,0.007062673568725586,0.003658294677734375
A281NPSIMI1C2R:55:B000F63TW0,A281NPSIMI1C2R,head,3,0.05906808376312256,0.029264450073242188
A284F70PTVG7Z1:5:B003QKL5YQ,A284F70PTVG7Z1,head,3,0.20192867517471313,0.08581860860188802
A28FIQZ46WLUI2:2:B004MUG8V4,A28FIQZ46WLUI2,tail,3,0.22193115949630737,0.09153016408284505
A28G4HXCIQ1UQ9:4:B008HODSNW,A28G4HXCIQ1UQ9,tail,4,0.3014453053474426,0.09478020668029785
A28IBOLVCSQRLQ:11:B005JTSS6K,A28IBOLVCSQRLQ,tail,4,0.18857967853546143,0.05889725685119629
A28IIVKXOE1ATF:7:B00A0J09C0,A28IIVKXOE1ATF,head,2,0.03299182653427124,0.019265174865722656
A29B2TOMJOUES3:6:B00006JT6O,A29B2TOMJOUES3,head,4,0.1325625777244568,0.043436288833618164
A29DVO8KLQJCX0:7:B00KHH2VOY,A29DVO8KLQJCX0,head,3,0.0029976367950439453,0.0010051727294921875
A29M09QBG9TZLP:22:B003ZYM8CQ,A29M09QBG9TZLP,tail,3,0.17390519380569458,0.07662550608317058
A29NP54H9WI5TR:8:B004BCT860,A29NP54H9WI5TR,tail,2,0.2442600131034851,0.14636516571044922
A29R6Z6BX392JM:4:B007A7PTWA,A29R6Z6BX392JM,tail,3,0.004176914691925049,0.0034144719441731772
A29UZ3E0QILZOC:1:B008Q0E714,A29UZ3E0QILZOC,head,2,0.07401621341705322,0.043587684631347656
A2ADBH0ISHQU4P:2:B000RL0OYE,A2ADBH0ISHQU4P,tail,4,0.12827014923095703,0.03809952735900879
A2AE2G19CD2WMU:3:B001E6O9M4,A2AE2G19CD2WMU,tail,3,0.17010706663131714,0.06632518768310547
A2BAAKZHSUGCDP:2:B0013OFRUK,A2BAAKZHSUGCDP,head,4,0.05441737174987793,0.01750648021697998
A2BV6D29EIY9MY:5:B0084A5NOQ,A2BV6D29EIY9MY,tail,2,0.25279390811920166,0.15308094024658203
A2CECLRFH55F8H:1:B000UVZU1S,A2CECLRFH55F8H,head,4,0.22374701499938965,0.06787538528442383
A2CHYSQW8XC6R3:2:B004Y3H7MS,A2CHYSQW8XC6R3,tail,3,0.07433229684829712,0.03125953674316406
A2CIHMZHYKWEW0:2:B0018S8NNE,A2CIHMZHYKWEW0,tail,5,0.12012165784835815,0.03369483947753906
A2CIZ8J0JIPL40:1:B001VA8PWI,A2CIZ8J0JIPL40,head,2,0.04060322046279907,0.025821685791015625
A2CLYTJO7WH1KX:3:B0013TXEQE,A2CLYTJO7WH1KX,tail,2,0.2330569624900818,0.13948822021484375
A2DG3YVEU37IZ7:2:B0000CNR0E,A2DG3YVEU37IZ7,tail,3,0.013029336929321289,0.0045146942138671875
A2DJAL5ND4BSLM:2:B002L6PXNA,A2DJAL5ND4BSLM,head,3,0.17357265949249268,0.06771183013916016
A2DVE0GA00ZX5Z:2:B00JJVG6HC,A2DVE0GA00ZX5Z,head,2,0.010065555572509766,0.006577014923095703
A2DYW9Y2D8E43L:1:B0006NY35E,A2DYW9Y2D8E43L,tail,2,0.07738876342773438,0.043323516845703125
A2E52KEGFRHSJ5:9:B0018DAUKI,A2E52KEGFRHSJ5,head,3,0.20723867416381836,0.0857683817545573
A2EDF8M15LA651:3:B001YTD3BE,A2EDF8M15LA651,tail,3,0.010314762592315674,0.0039323170979817705
A2EWHC4E4NJWMI:38:B006UET5UG,A2EWHC4E4NJWMI,head,2,0.14051878452301025,0.0815114974975586
A2FU5LRHY17OY2:1:B00EH6LTGM,A2FU5LRHY17OY2,tail,5,0.0042975544929504395,0.0008713722229003907
A2FWDBKX76ILA7:29:B0062GZB4Q,A2FWDBKX76ILA7,head,4,0.09030205011367798,0.03806495666503906
A2GJBEDWM7V1JJ:5:B000EBIDJ0,A2GJBEDWM7V1JJ,tail,3,0.21106094121932983,0.09317906697591145
A2GOHBNQ58WOKC:10:B007E0FQ1W,A2GOHBNQ58WOKC,head,3,0.031193673610687256,0.018179575602213543
A2H6FKUCFMSYCB:1:B004N2EYY4,A2H6FKUCFMSYCB,tail,2,0.16513937711715698,0.09349346160888672
A2HDMQXSSL8TE8:1:B003OSCS3C,A2HDMQXSSL8TE8,tail,5,0.31435006856918335,0.11440372467041016
A2HMLVLFUVBB7M:7:B0069FDR96,A2HMLVLFUVBB7M,head,3,0.06938612461090088,0.02673165003458659
A2I39DPQ3YP84W:1:B0028MITHO,A2I39DPQ3YP84W,tail,2,0.281391441822052,0.17295551300048828
A2IHIF6AXYIMPU:1:B000E793P2,A2IHIF6AXYIMPU,tail,4,0.07776874303817749,0.02271115779876709
A2IOKFE552OYPU:2:B008VSBREG,A2IOKFE552OYPU,tail,3,0.09091949462890625,0.032958984375
A2J1NC721YS9UC:6:B005P0W90Y,A2J1NC721YS9UC,tail,3,0.01050347089767456,0.003661473592122396
A2JCZMRVXV13MA:5:B0069UA4GK,A2JCZMRVXV13MA,head,3,0.1758316159248352,0.0688463846842448
A2K35M5UPYN318:7:B0092SVTGA,A2K35M5UPYN318,head,4,0.10135632753372192,0.03172802925109863
A2K3A3HA229ZVN:2:B00004U9UY,A2K3A3HA229ZVN,tail,3,0.3467732071876526,0.1465930938720703
A2K70V3JE9SV7F:17:B002L6NZHG,A2K70V3JE9SV7F,head,2,0.2323397994041443,0.1389484405517578
A2KMTDXF78JTKR:2:B0013N896U,A2KMTDXF78JTKR,tail,3,0.12833499908447266,0.05467033386230469
A2KRRPENJ5J9YW:1:B000GDDKJ4,A2KRRPENJ5J9YW,tail,3,0.19593316316604614,0.07847889264424641
A2KSEREZAWFOF2:2:B000SIGZB2,A2KSEREZAWFOF2,tail,4,0.060518860816955566,0.02837538719177246
A2KUK2GLJDWAVQ:3:B00008CMOQ,A2KUK2GLJDWAVQ,head,3,0.0737600326538086,0.03705406188964844
A2L7UE9O293Q2W:1:B002BEHQWI,A2L7UE9O293Q2W,tail,3,0.13621467351913452,0.052928924560546875
A2LB86SVX3NDV1:3:B002CML1R0,A2LB86SVX3NDV1,tail,2,0.01370304822921753,0.011761665344238281
A2LFH2UJJUKXKJ:4:B0006Q3NTS,A2LFH2UJJUKXKJ,head,4,0.04847592115402222,0.020782470703125
A2LX85V0TVHUQK:11:B002Y1Y1I0,A2LX85V0TVHUQK,tail,3,0.13721412420272827,0.05365562438964844
A2LXC5ZHHP0WXP:19:B00BB9WBC4,A2LXC5ZHHP0WXP,head,3,0.02620089054107666,0.011349995930989584
A2M60W3FQWPI8W:1:B003ODETES,A2M60W3FQWPI8W,head,3,0.07017391920089722,0.03152004877726237
A2M84ZWGQJQE2N:2:B007BLN17K,A2M84ZWGQJQE2N,head,3,0.043004631996154785,0.018416086832682293
A2MVPY9XVYST9H:1:B006L2137A,A2MVPY9XVYST9H,head,3,0.020508229732513428,0.01035308837890625
A2N7GNAKUTDY55:4:B002Y26V00,A2N7GNAKUTDY55,tail,3,0.3007494807243347,0.12732060750325522
A2NC5Z1BT4HA4O:4:B003IU9HI0,A2NC5Z1BT4HA4O,head,3,0.17922627925872803,0.06927998860677083
A2NHBHS924DATE:8:B005KO7NK6,A2NHBHS924DATE,head,4,0.3182230591773987,0.1020655632019043
