arm,sample_key,target_group,graph_covered,baseline_rank,candidate_rank,baseline_Recall@5,baseline_NDCG@5,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,baseline_MRR,candidate_Recall@5,candidate_NDCG@5,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,candidate_MRR,target_in_baseline_beam50,target_in_candidate_beam50,new_hit_at10_outside_A_beam,changed,broad_harm
C,A34KGD6ZYDDVT0:6:B00CE9LPYA,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A34NLHHIBLIMDI:3:B0030HAF4G,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A351XQSM1J6BXK:2:B004LRO7DO,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A35N4FNDV5L3LK:4:B000NE6PCA,tail,1,6,5,0.0,0.0,1.0,0.3562071871080222,1.0,0.16666666666666666,1.0,0.38685280723454163,1.0,0.38685280723454163,1.0,0.2,1,1,0,1,0
C,A366YFWGJ84JAJ:5:B000HRXCRE,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A376I1C84R1XZM:1:B008CEDY5O,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A37DJTGVUSINC0:2:B00A0IWRT4,head,1,,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.020833333333333332,0,1,0,1,0
C,A37JYIO1S2DMC3:1:B000ZMBSPE,head,1,21,38,0.0,0.0,0.0,0.0,1.0,0.047619047619047616,0.0,0.0,0.0,0.0,1.0,0.02631578947368421,1,1,0,1,0
C,A37JYIO1S2DMC3:3:B007JLUL1G,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A38CWC6MDL1PK6:5:B000XSBTM2,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A393G014Z2MQMT:2:B000GRB3SA,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3AFF6XMHMG9TD:10:B00EWDP45C,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3AK8ZGHM26KTM:1:B002B4EFCC,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3B7J2945PU1P0:5:B009LOJ5MA,head,1,3,3,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,1,1,0,1,0
C,A3BMI7VGJT60Y7:1:B000OC3L4Q,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3BMI7VGJT60Y7:34:B000AAAWAI,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3BMI7VGJT60Y7:7:B001NIWHCW,tail,1,4,3,1.0,0.43067655807339306,1.0,0.43067655807339306,1.0,0.25,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,1,1,0,1,0
C,A3C6CZC2JP67VK:18:B0063A432W,head,1,2,2,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.5,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.5,1,1,0,1,0
C,A3C6CZC2JP67VK:19:B007JT7AIK,head,1,7,7,0.0,0.0,1.0,0.3333333333333333,1.0,0.14285714285714285,0.0,0.0,1.0,0.3333333333333333,1.0,0.14285714285714285,1,1,0,1,0
C,A3C6CZC2JP67VK:32:B00HNKRWII,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0
