dataset,sample_key,prefix,legal_children,teacher_mass_error
Beauty,A229IMT5ZQ0X7Q:2:B008BSYM0C,0,108,1.1920928955078125e-07
Beauty,A22QOZZLLIMW6I:28:B006T8T0P8,0,108,1.1920928955078125e-07
Beauty,A234X1MVIMPMMC:24:B0034F9KEU,0 768 22385,4,0.0
Beauty,A24KY9WFCLKZDZ:1:B003X4I7HS,0 15405,139,5.960464477539063e-08
Beauty,A25C2M3QF9G7OQ:12:B000FH4I1U,0,108,1.1920928955078125e-07
Beauty,A25C4F69SVX6T8:2:B004GT440S,0,108,0.0
Beauty,A25UEX5TREEPIO:6:B006U9D6D8,0,108,0.0
Beauty,A26D03RF4FZIOJ:2:B00021C1LI,0,108,5.960464477539063e-08
Beauty,A26IP16QFXCNGG:2:B00I073WLE,0,108,0.0
Beauty,A27D0VRNOOUNRR:3:B007RTR8TS,0 3022 19140,3,0.0
Beauty,A27HGURKO0AN41:3:B005EII0QO,0 11477 7700,2,0.0
Beauty,A281NPSIMI1C2R:22:B000BR766S,0 25597,96,0.0
Beauty,A281NPSIMI1C2R:23:B00006IGL3,0,108,0.0
Beauty,A28YV07R2VUJNU:1:B003BOM2JY,0 25597 2110,2,0.0
Beauty,A29B2TOMJOUES3:8:B004AUA63M,0,108,0.0
Beauty,A29M09QBG9TZLP:30:B00A0IWRT4,0 2452,54,0.0
Beauty,A29XOMLBOMBBVI:1:B001KYRMBU,0 18311,118,1.1920928955078125e-07
Beauty,A2BBJNXSAJMII5:2:B000EGSD1S,0 15629,81,5.960464477539063e-08
Beauty,A2BM3B3243C4H0:12:B002RS6JPI,0,108,0.0
Beauty,A2C0FJVUA7CAET:4:B000VPPUEA,0 2565,83,5.960464477539063e-08
Beauty,A2C0FJVUA7CAET:9:B000NJG82W,0 16875,41,1.1920928955078125e-07
Beauty,A2C656PYGPIRV4:2:B000TFQH5I,0,108,5.960464477539063e-08
Beauty,A2C9XE9I8RSKNX:5:B004RC4FSK,0 7334,30,0.0
Beauty,A2CHTRYAGL7P04:10:B001B7GJ2E,0 643,212,0.0
Beauty,A2D4FQHV506EPB:49:B00HM6IXH2,0 20725,104,0.0
Beauty,A2DNILN6MLHEE8:1:B00538TSMU,0 887 8280 14460,3,0.0
Beauty,A2FWDBKX76ILA7:42:B006K9OQSC,0,108,0.0
Beauty,A2G8W6K7UW1KLL:3:B0084BPHRI,0 15629,81,5.960464477539063e-08
