dataset	integrity_gate	coverage_w50	coverage_w100	coverage_w200	coverage_headroom	baseline_hit10_w50	baseline_hit10_w100	baseline_hit10_w200	pcrf_hit10_w50	pcrf_hit10_w100	pcrf_hit10_w200	pcrf_headroom	minimum_width_at_90pct_pcrf_gain
Toys	passed	0.208984375	0.267578125	0.326171875	0.1171875	0.12109375	0.12109375	0.12109375	0.123046875	0.123046875	0.123046875	0.0	50
Beauty	passed	0.20703125	0.263671875	0.333984375	0.126953125	0.1015625	0.1015625	0.1015625	0.103515625	0.103515625	0.1015625	-0.001953125	50
