user_id	fold	history_group	target_popularity	target_source	baseline_rank	oof_rank	hit10_transition	oof_top10_new_gram_only	oof_top10_new_both	oof_top10_new_cf_only
A2LEVKA3U6CXX7	3	1-5	head	union_miss	51	91	stable_miss	0	2	1
A30A2D5U0J5QE2	3	1-5	head	both	1	1	stable_hit	0	2	0
A2414GMYG82NSD	2	1-5	head	union_miss	51	91	stable_miss	0	0	2
AXUD0WYLU4OU4	3	1-5	middle	union_miss	51	91	stable_miss	0	0	1
A2ZA7VS6K4WOBM	2	1-5	tail	union_miss	51	91	stable_miss	1	0	1
A2U7V66VTVG6GS	2	6-10	middle	union_miss	51	91	stable_miss	0	1	0
A2RFU9D87QU494	4	1-5	head	cf_only	51	47	stable_miss	0	1	0
A1X7E544IJXXCB	1	6-10	middle	union_miss	51	91	stable_miss	0	2	0
AF147KUNMFD0N	3	1-5	middle	both	10	7	stable_hit	0	2	0
ANV5G8C4MP5TM	2	1-5	middle	union_miss	51	91	stable_miss	0	0	0
A1S7BFT0HDF3HA	3	1-5	tail	union_miss	51	91	stable_miss	0	1	0
A3G9H9PO9E7C5P	4	11-20	middle	union_miss	51	91	stable_miss	1	0	0
A10JM0T806MNL0	3	6-10	middle	both	1	1	stable_hit	2	0	0
A3KJSCZZN0LZEG	2	1-5	head	gram_only	13	16	stable_miss	0	1	1
A3Q1J68QY1MZQ9	3	1-5	middle	gram_only	34	43	stable_miss	0	3	0
A2ARR5VDQE9I4W	2	1-5	middle	union_miss	51	91	stable_miss	0	0	1
A1PKRO48Z2QTFV	3	1-5	middle	union_miss	51	91	stable_miss	0	1	0
A3L3QAUKAP5N7F	1	1-5	middle	union_miss	51	91	stable_miss	0	1	1
AA8R02WLBO7QD	4	1-5	tail	union_miss	51	91	stable_miss	0	0	0
A3I6PSQD9AL7VU	1	1-5	middle	union_miss	51	91	stable_miss	0	3	0
A1MCNNG2XV3TYM	1	1-5	tail	union_miss	51	91	stable_miss	0	2	0
A331NSK2YGBLN9	1	1-5	head	cf_only	51	55	stable_miss	0	2	1
A2AGGGYR7EOM8U	1	1-5	tail	cf_only	51	10	gain	0	2	1
A1CJNB6J9U2K6C	4	6-10	tail	both	12	10	gain	0	1	0
AK1WNXTHNCG5V	2	11-20	middle	gram_only	7	9	stable_hit	0	1	0
A19I70I7ALH86Q	2	1-5	middle	union_miss	51	91	stable_miss	0	0	2
