dataset,user,split,sample_hash,depth,child_count,history_length,donor_overlap_max,lp_clean,lp_corrupt,lp_no_cf,cf_utility,cf_margin,helpful,sensitivity_deficit,visible_length_identity,metadata_start_identity
Toys,A2VNZL6829HGRI,fit,003403a5d79eda9e7bad9e28a34434e774a46f303a275c37fb71e7f813a7c58e,2,23,5,0.0,-0.6143732070922852,-2.4382529258728027,-3.5047261714935303,2.890352964401245,1.8238797187805176,True,False,True,True
Toys,A2VNZL6829HGRI,fit,003403a5d79eda9e7bad9e28a34434e774a46f303a275c37fb71e7f813a7c58e,3,1,5,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A2VNZL6829HGRI,fit,003403a5d79eda9e7bad9e28a34434e774a46f303a275c37fb71e7f813a7c58e,4,1,5,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A3BMAGBPEVAUP8,fit,003759268035a78b33f9d0018181a07b9a09ce03b0faa84b03e9057d4283b0dc,0,30,2,0.0,-2.9160244464874268,-2.144110918045044,-2.439772129058838,-0.47625231742858887,-0.7719135284423828,False,False,True,True
Toys,A3BMAGBPEVAUP8,fit,003759268035a78b33f9d0018181a07b9a09ce03b0faa84b03e9057d4283b0dc,1,19,2,0.0,-1.1062109470367432,-0.7553386688232422,-0.9426836371421814,-0.16352730989456177,-0.350872278213501,False,False,True,True
Toys,A3BMAGBPEVAUP8,fit,003759268035a78b33f9d0018181a07b9a09ce03b0faa84b03e9057d4283b0dc,2,49,2,0.0,-0.9359415769577026,-0.5144681334495544,-1.1198070049285889,0.18386542797088623,-0.4214734435081482,True,True,True,True
Toys,A3BMAGBPEVAUP8,fit,003759268035a78b33f9d0018181a07b9a09ce03b0faa84b03e9057d4283b0dc,3,2,2,0.0,-0.016163500025868416,-0.015003925189375877,-0.01072393823415041,-0.005439561791718006,-0.0011595748364925385,False,False,True,True
Toys,A3BMAGBPEVAUP8,fit,003759268035a78b33f9d0018181a07b9a09ce03b0faa84b03e9057d4283b0dc,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A3KOWY2QU7YQ96,fit,00398d6ecdf987e11d218f6403624d823f3463d2a645bd3b4f3dd277f1779469,0,30,3,0.0,-0.03323153778910637,-0.2570955455303192,-0.170487180352211,0.13725564256310463,0.22386400774121284,True,False,True,True
Toys,A3KOWY2QU7YQ96,fit,00398d6ecdf987e11d218f6403624d823f3463d2a645bd3b4f3dd277f1779469,1,20,3,0.0,-1.1882503032684326,-1.1284888982772827,-1.1030625104904175,-0.08518779277801514,-0.0597614049911499,False,False,True,True
Toys,A3KOWY2QU7YQ96,fit,00398d6ecdf987e11d218f6403624d823f3463d2a645bd3b4f3dd277f1779469,2,24,3,0.0,-0.7876843810081482,-4.064112186431885,-4.205392837524414,3.417708456516266,3.2764278054237366,True,False,True,True
Toys,A3KOWY2QU7YQ96,fit,00398d6ecdf987e11d218f6403624d823f3463d2a645bd3b4f3dd277f1779469,3,2,3,0.0,0.0,-8.702239938429557e-06,-5.722029527532868e-06,5.722029527532868e-06,8.702239938429557e-06,True,True,True,True
Toys,A3KOWY2QU7YQ96,fit,00398d6ecdf987e11d218f6403624d823f3463d2a645bd3b4f3dd277f1779469,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A3G0ARA86SET36,fit,00456072c086e6cf07dd2cb77aea1ee200d2ff3b5210dde4cd9ddc5631f7271e,0,30,2,0.0,-1.7674534320831299,-2.2553956508636475,-2.014502763748169,0.24704933166503906,0.4879422187805176,True,False,True,True
Toys,A3G0ARA86SET36,fit,00456072c086e6cf07dd2cb77aea1ee200d2ff3b5210dde4cd9ddc5631f7271e,1,31,2,0.0,-0.9703012704849243,-3.264463424682617,-3.188281536102295,2.2179802656173706,2.294162154197693,True,False,True,True
Toys,A3G0ARA86SET36,fit,00456072c086e6cf07dd2cb77aea1ee200d2ff3b5210dde4cd9ddc5631f7271e,2,29,2,0.0,-0.0007833749405108392,-0.9290338158607483,-0.882019579410553,0.8812362044700421,0.9282504409202375,True,False,True,True
Toys,A3G0ARA86SET36,fit,00456072c086e6cf07dd2cb77aea1ee200d2ff3b5210dde4cd9ddc5631f7271e,3,4,2,0.0,-8.749579137656838e-05,-0.1255091279745102,-0.13369695842266083,0.13360946263128426,0.12542163218313362,True,False,True,True
Toys,A3G0ARA86SET36,fit,00456072c086e6cf07dd2cb77aea1ee200d2ff3b5210dde4cd9ddc5631f7271e,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A3G0ARA86SET36,fit,00456072c086e6cf07dd2cb77aea1ee200d2ff3b5210dde4cd9ddc5631f7271e,5,7,2,0.0,-0.03150750696659088,-3.384228467941284,-3.637856960296631,3.60634945333004,3.3527209609746933,True,False,True,True
Toys,A10HKS3LFIO8V4,fit,004f52c881aeffd9659a88b1bda027c52ce9ebb9579060e3fb6c05435201513c,0,30,3,0.1111111111111111,-3.0142664909362793,-3.096364974975586,-2.958841323852539,-0.055425167083740234,0.08209848403930664,False,False,True,True
Toys,A10HKS3LFIO8V4,fit,004f52c881aeffd9659a88b1bda027c52ce9ebb9579060e3fb6c05435201513c,1,31,3,0.1111111111111111,-1.512605905532837,-1.9122604131698608,-1.3834967613220215,-0.12910914421081543,0.3996545076370239,False,False,True,True
Toys,A10HKS3LFIO8V4,fit,004f52c881aeffd9659a88b1bda027c52ce9ebb9579060e3fb6c05435201513c,2,28,3,0.1111111111111111,-2.2208735942840576,-2.566455602645874,-2.2998666763305664,0.07899308204650879,0.3455820083618164,True,False,True,True
Toys,A10HKS3LFIO8V4,fit,004f52c881aeffd9659a88b1bda027c52ce9ebb9579060e3fb6c05435201513c,3,23,3,0.1111111111111111,-1.522943377494812,-1.7035882472991943,-1.334689974784851,-0.18825340270996094,0.18064486980438232,False,False,True,True
Toys,A10HKS3LFIO8V4,fit,004f52c881aeffd9659a88b1bda027c52ce9ebb9579060e3fb6c05435201513c,4,1,3,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A17UZAAXZ3923D,fit,005bba57efecf613a75a37b3cf9fdcfce6e7028899d7839dff2be3e990077c55,0,30,3,0.0,-3.4126906394958496,-3.1197190284729004,-2.7950682640075684,-0.6176223754882812,-0.2929716110229492,False,False,True,True
Toys,A17UZAAXZ3923D,fit,005bba57efecf613a75a37b3cf9fdcfce6e7028899d7839dff2be3e990077c55,1,29,3,0.0,-1.529545783996582,-2.0606932640075684,-2.150979518890381,0.6214337348937988,0.5311474800109863,True,False,True,True
Toys,A17UZAAXZ3923D,fit,005bba57efecf613a75a37b3cf9fdcfce6e7028899d7839dff2be3e990077c55,2,45,3,0.0,-0.6907709240913391,-1.9873812198638916,-0.7850825190544128,0.09431159496307373,1.2966102957725525,True,False,True,True
Toys,A17UZAAXZ3923D,fit,005bba57efecf613a75a37b3cf9fdcfce6e7028899d7839dff2be3e990077c55,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A17UZAAXZ3923D,fit,005bba57efecf613a75a37b3cf9fdcfce6e7028899d7839dff2be3e990077c55,4,1,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A20N9RBXNIPZ4I,fit,005e1145cf59dec1f748c0484657c3fc247c5fcf502d8b715eeff063a49af1da,0,30,2,0.0,-2.435163974761963,-2.1549670696258545,-2.5593554973602295,0.1241915225982666,-0.2801969051361084,True,True,True,True
Toys,A20N9RBXNIPZ4I,fit,005e1145cf59dec1f748c0484657c3fc247c5fcf502d8b715eeff063a49af1da,1,53,2,0.0,-0.5055697560310364,-0.5482580065727234,-0.5238776206970215,0.018307864665985107,0.04268825054168701,True,True,True,True
Toys,A20N9RBXNIPZ4I,fit,005e1145cf59dec1f748c0484657c3fc247c5fcf502d8b715eeff063a49af1da,2,6,2,0.0,-0.7199246287345886,-1.3193563222885132,-1.5737013816833496,0.853776752948761,0.5994316935539246,True,False,True,True
Toys,A20N9RBXNIPZ4I,fit,005e1145cf59dec1f748c0484657c3fc247c5fcf502d8b715eeff063a49af1da,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A20N9RBXNIPZ4I,fit,005e1145cf59dec1f748c0484657c3fc247c5fcf502d8b715eeff063a49af1da,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A36N2I7T8KSQEF,fit,00640221136f41974c4cf14a87acac8fdffd46fe4ed929ef35ec9a7c7b57f7a5,0,30,6,0.1111111111111111,-1.138746738433838,-1.5048192739486694,-1.1204988956451416,-0.01824784278869629,0.36607253551483154,False,False,True,True
Toys,A36N2I7T8KSQEF,fit,00640221136f41974c4cf14a87acac8fdffd46fe4ed929ef35ec9a7c7b57f7a5,1,31,6,0.1111111111111111,-1.2121610641479492,-1.2360179424285889,-1.0329890251159668,-0.17917203903198242,0.02385687828063965,False,False,True,True
Toys,A36N2I7T8KSQEF,fit,00640221136f41974c4cf14a87acac8fdffd46fe4ed929ef35ec9a7c7b57f7a5,2,25,6,0.1111111111111111,-1.2297722101211548,-1.6021065711975098,-1.227057695388794,-0.00271451473236084,0.372334361076355,False,False,True,True
Toys,A36N2I7T8KSQEF,fit,00640221136f41974c4cf14a87acac8fdffd46fe4ed929ef35ec9a7c7b57f7a5,3,12,6,0.1111111111111111,-1.83347749710083,-3.568430185317993,-3.8138787746429443,1.9804012775421143,1.734952688217163,True,False,True,True
Toys,A36N2I7T8KSQEF,fit,00640221136f41974c4cf14a87acac8fdffd46fe4ed929ef35ec9a7c7b57f7a5,4,1,6,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A9NE9ZFK22BNY,fit,00660664046c693070b507fb9896a43ecac8c7e4d2f435e296c05cb7790323ac,0,30,2,0.0,-2.6325571537017822,-2.9813413619995117,-3.138113498687744,0.5055563449859619,0.3487842082977295,True,False,True,True
Toys,A9NE9ZFK22BNY,fit,00660664046c693070b507fb9896a43ecac8c7e4d2f435e296c05cb7790323ac,1,21,2,0.0,-3.112316131591797,-2.329115390777588,-2.8763139247894287,-0.23600220680236816,-0.783200740814209,False,False,True,True
Toys,A9NE9ZFK22BNY,fit,00660664046c693070b507fb9896a43ecac8c7e4d2f435e296c05cb7790323ac,2,26,2,0.0,-0.9355235695838928,-1.9554027318954468,-2.0619664192199707,1.1264428496360779,1.019879162311554,True,False,True,True
Toys,A9NE9ZFK22BNY,fit,00660664046c693070b507fb9896a43ecac8c7e4d2f435e296c05cb7790323ac,3,4,2,0.0,-0.6032831072807312,-0.889327883720398,-1.2363972663879395,0.6331141591072083,0.28604477643966675,True,False,True,True
Toys,A9NE9ZFK22BNY,fit,00660664046c693070b507fb9896a43ecac8c7e4d2f435e296c05cb7790323ac,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A2K0CTIYO0R0H1,fit,0074d7607530a0efba995901d8e21bb578fe21048e81931073f7cd2b7513acfe,0,30,2,0.0,-3.581235885620117,-3.6933083534240723,-3.5982775688171387,0.017041683197021484,0.11207246780395508,True,False,True,True
Toys,A2K0CTIYO0R0H1,fit,0074d7607530a0efba995901d8e21bb578fe21048e81931073f7cd2b7513acfe,1,24,2,0.0,-2.709958553314209,-4.147517681121826,-3.8866167068481445,1.1766581535339355,1.4375591278076172,True,False,True,True
Toys,A2K0CTIYO0R0H1,fit,0074d7607530a0efba995901d8e21bb578fe21048e81931073f7cd2b7513acfe,2,5,2,0.0,-0.13388592004776,-0.2893582284450531,-0.28173354268074036,0.14784762263298035,0.1554723083972931,True,False,True,True
Toys,A2K0CTIYO0R0H1,fit,0074d7607530a0efba995901d8e21bb578fe21048e81931073f7cd2b7513acfe,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A2K0CTIYO0R0H1,fit,0074d7607530a0efba995901d8e21bb578fe21048e81931073f7cd2b7513acfe,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A22321WGRP47QU,fit,00758a87ddc1ae6e46d486aa187b6b4d7ea149bdc49de134c979a0b45fc06231,0,30,2,0.0,-0.07403828203678131,-1.1331926584243774,-0.8802297711372375,0.8061914891004562,1.0591543763875961,True,False,True,True
Toys,A22321WGRP47QU,fit,00758a87ddc1ae6e46d486aa187b6b4d7ea149bdc49de134c979a0b45fc06231,1,21,2,0.0,-0.02163488231599331,-1.3851838111877441,-0.8860437870025635,0.8644089046865702,1.3635489288717508,True,False,True,True
Toys,A22321WGRP47QU,fit,00758a87ddc1ae6e46d486aa187b6b4d7ea149bdc49de134c979a0b45fc06231,2,2,2,0.0,-4.255681051290594e-05,-0.0039876955561339855,-0.003331945277750492,0.003289388467237586,0.00394513874562108,True,True,True,True
Toys,A22321WGRP47QU,fit,00758a87ddc1ae6e46d486aa187b6b4d7ea149bdc49de134c979a0b45fc06231,3,4,2,0.0,-0.006970019545406103,-3.9204113483428955,-3.377509355545044,3.370539335999638,3.9134413287974894,True,False,True,True
Toys,A22321WGRP47QU,fit,00758a87ddc1ae6e46d486aa187b6b4d7ea149bdc49de134c979a0b45fc06231,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A3UHHA7YYFPJ8V,fit,00842762d564af36d0f6bd2993c68664600acff09ae714240704f58da1711990,0,30,2,0.0,-0.01181273628026247,-0.038201261311769485,-0.018688082695007324,0.006875346414744854,0.026388525031507015,True,True,True,True
Toys,A3UHHA7YYFPJ8V,fit,00842762d564af36d0f6bd2993c68664600acff09ae714240704f58da1711990,1,24,2,0.0,-0.37415987253189087,-0.468423992395401,-0.46574926376342773,0.09158939123153687,0.09426411986351013,True,True,True,True
Toys,A3UHHA7YYFPJ8V,fit,00842762d564af36d0f6bd2993c68664600acff09ae714240704f58da1711990,2,186,2,0.0,-0.42318570613861084,-1.2093781232833862,-0.6217190623283386,0.19853335618972778,0.7861924171447754,True,False,True,True
Toys,A3UHHA7YYFPJ8V,fit,00842762d564af36d0f6bd2993c68664600acff09ae714240704f58da1711990,3,22,2,0.0,-0.7840404510498047,-1.6692395210266113,-1.0320212841033936,0.24798083305358887,0.8851990699768066,True,False,True,True
Toys,A3UHHA7YYFPJ8V,fit,00842762d564af36d0f6bd2993c68664600acff09ae714240704f58da1711990,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A2604CB1MDQ7GK,fit,0085c4e933bbc4ed532dca79e3d865852ce9115debc7e9a3fb70fffc727692c6,0,30,2,0.1111111111111111,-2.2741987705230713,-2.956578493118286,-2.145833730697632,-0.12836503982543945,0.6823797225952148,False,False,True,True
Toys,A2604CB1MDQ7GK,fit,0085c4e933bbc4ed532dca79e3d865852ce9115debc7e9a3fb70fffc727692c6,1,27,2,0.1111111111111111,-0.7279753088951111,-0.9934160113334656,-0.5821340084075928,-0.1458413004875183,0.2654407024383545,False,False,True,True
Toys,A2604CB1MDQ7GK,fit,0085c4e933bbc4ed532dca79e3d865852ce9115debc7e9a3fb70fffc727692c6,2,7,2,0.1111111111111111,-0.0018343779956921935,-1.3617174625396729,-1.4640333652496338,1.4621989872539416,1.3598830845439807,True,False,True,True
Toys,A2604CB1MDQ7GK,fit,0085c4e933bbc4ed532dca79e3d865852ce9115debc7e9a3fb70fffc727692c6,3,1,2,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,A2604CB1MDQ7GK,fit,0085c4e933bbc4ed532dca79e3d865852ce9115debc7e9a3fb70fffc727692c6,4,1,2,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,False,False,True,True
