item,path,parent,train_freq,beam_count,lp0,lp_last,lp_last_parent_centered,exposure_amplification
B003E8CJWM,19831 8156 12460 29681 8461 2179 3300,19831 8156 12460 29681 8461 2179,5,21,-22.06334114074707,-17.472515106201172,0.0,-0.5874337005595205
B003EBNLIA,27406 12593 13966 10219 19197 26311 6073,27406 12593 13966 10219 19197 26311,69,1064,-23.27151870727539,-18.610990524291992,0.0,0.7781951883080769
B003EGWQ36,3361 10276 13951 29202 1421 12811 3168,3361 10276 13951 29202 1421 12811,6,0,-21.761865615844727,-23.617324829101562,0.0,-4.515687900916248
B003EGYDI2,2131 10859 27220 324 14762 5495 4448,2131 10859 27220 324 14762 5495,3,11,-22.86329460144043,-22.10840606689453,0.0,-0.7611544765808755
B003EGZZ1G,2131 1171 939 8967 4560 5495 2658,2131 1171 939 8967 4560 5495,6,0,-21.68419075012207,-19.860136032104492,0.0,-4.515687900916248
B003EH20VI,2131 27436 324 14574 6745 5215 18311,2131 27436 324 14574 6745 5215,51,182,-23.74822998046875,-22.156879425048828,0.0,-0.6855701781018553
B003EH20ZO,2131 27436 324 6374 6745 5215 16087,2131 27436 324 6374 6745 5215,43,101,-24.341400146484375,-25.828744888305664,0.0,-1.1034406830675074
B003EH22KC,2131 324 20266 8838 20734 7568 2368,2131 324 20266 8838 20734 7568,2,4,-21.948488235473633,-19.33989143371582,0.0,-1.3629518785525914
B003EH22SO,2131 6890 324 939 12451 5495 16087,2131 6890 324 939 12451 5495,3,7,-22.612485885620117,-24.48689079284668,0.0,-1.1885984914078147
B003EIDODA,12535 6364 10787 9385 23330 10827 1296,12535 6364 10787 9385 23330 10827,7,0,-22.181657791137695,-17.20688247680664,0.0,-4.658788744556922
B003EIOWTA,23216 22757 3337 13574 2313 701 21105,23216 22757 3337 13574 2313 701,6,11,-22.260835647583008,-30.082523345947266,0.0,-1.3801936849870984
B003EMIX8W,7512 711 1207 16446 288 31516 14466,7512 711 1207 16446 288 31516,7,7,-24.110973358154297,-22.101398468017578,0.0,-1.9507385434547118
B003EN4T2U,15496 8463 8407 20547 3211 651 6778,15496 8463 8407 20547 3211 651,15,46,-24.520524978637695,-23.801244735717773,0.0,-0.8521262547866026
B003ENBXYM,23159 3198 11723 356 15765 3667 10293,23159 3198 11723 356 15765 3667,7,0,-21.203153610229492,-21.804433822631836,0.0,-4.658788744556922
B003ENFAKK,23159 3198 1291 1114 7237 11941 14584,23159 3198 1291 1114 7237 11941,6,0,-21.386226654052734,-22.39358901977539,0.0,-4.515687900916248
