dataset,group,n,recall@10,recall@50,recall_gap_absolute,miss10_hit50_n,shared_prefix_rate_in_miss10_hit50,mean_max_top10_prefix_depth_in_miss10_hit50,baseline_ndcg@10,oracle_promote_target_ndcg@10,oracle_ndcg@10_relative_headroom
Toys,overall,19412,0.11941067381001443,0.21193076447558212,0.09252009066556768,1796,0.811804008908686,1.510022271714922,0.07627451426000033,0.21193076447558212,1.7785265698731858
Toys,head,8289,0.13813487754855833,0.2724092170346242,0.13427433948606587,1113,0.7744833782569631,1.3153638814016173,0.08607857711353992,0.2724092170346242,2.1646575276832145
Toys,tail,11123,0.10545716083790345,0.16686145823968354,0.06140429740178009,683,0.8726207906295754,1.8272327964860908,0.06896840286981784,0.16686145823968354,1.4193899133005146
Beauty,overall,22363,0.10875106202209006,0.2081116129320753,0.09936055090998525,2222,0.5891089108910891,0.8924392439243924,0.06497370269327131,0.2081116129320753,2.203012977643144
Beauty,head,11074,0.16561314791403287,0.3357413761964963,0.17012822828246343,1884,0.5573248407643312,0.8083864118895966,0.09676863472400919,0.3357413761964963,2.4695268477648136
Beauty,tail,11289,0.05297191956772079,0.08291256975817167,0.02994065019045088,338,0.7662721893491125,1.3609467455621302,0.033784307945427826,0.08291256975817167,1.4541739878792628
