dataset,item_count,head_item_count,tail_item_count,cache_rows,cache_pairs,tail_nontrivial_rows,tail_nontrivial_row_rate,joint_nontrivial_rows,joint_nontrivial_row_rate,C4_v2_vs_C2_pair_margin_exact_equality_rate,head_weight_exactly_one,tail_weight_strictly_above_one,tail_weight_monotonic,rarest_item_tail_weight,maximum_observed_margin,cache_frequency_mismatches
Toys,11876,2376,9500,2361,9444,770,0.3261329944938585,431,0.18254976704786108,0.6738670055061414,True,True,True,2.0,0.3798526315789474,0
Beauty,12068,2414,9654,2368,9472,374,0.1579391891891892,211,0.08910472972972973,0.8420608108108109,True,True,True,2.0,0.33219390926041015,0
