dataset,control,mean,std_population,min,p25,median,p75,max
Toys,C1,0.1,0.0,0.1,0.1,0.1,0.1,0.1
Toys,C2,0.1122229281377947,0.021729212809542375,0.1,0.1,0.1,0.13333333333333333,0.2
Toys,C3_v2,0.11104133841592546,0.022313756694898646,0.1,0.1,0.1,0.10997894736842105,0.1998105263157895
Toys,C4_v2,0.12548131181405442,0.04004375047485598,0.1,0.1,0.1,0.13333333333333333,0.3798526315789474
Beauty,C1,0.1,0.0,0.1,0.1,0.1,0.1,0.1
Beauty,C2,0.10614442567567568,0.01569580422766972,0.1,0.1,0.1,0.1,0.2
Beauty,C3_v2,0.10431994737512529,0.014017141196482683,0.1,0.1,0.1,0.1,0.1993163455562461
Beauty,C4_v2,0.11107537433720234,0.025242017212819514,0.1,0.1,0.1,0.10267246737103791,0.33219390926041015
