user,stratum,history_length,lp_full,lp_coarse_only,lp_minus_oldest,lp_minus_newest,g_all,g_old,g_new
A3D5B2CBFNJB0K,head_hit,20,-0.8720394372940063,-2.6393022537231445,-0.9269006848335266,-1.7432273626327515,-1.7672628164291382,-0.054861247539520264,-0.8711879253387451
A17ROMTUTETSF0,head_hit,5,-0.729924738407135,-0.7744436264038086,-0.7119059562683105,-0.9478175044059753,-0.044518887996673584,0.018018782138824463,-0.21789276599884033
A2TFXQ90NMNWTZ,head_hit,4,-1.0363131761550903,-1.2969030141830444,-1.3041837215423584,-1.013321042060852,-0.2605898380279541,-0.26787054538726807,0.02299213409423828
A2WXLLCQWH48D9,head_hit,4,-0.5975245237350464,-0.9751480221748352,-0.616805911064148,-0.6448347568511963,-0.3776234984397888,-0.019281387329101562,-0.0473102331161499
A26SRIXZMVHKS4,head_hit,3,-0.413757860660553,-0.950292706489563,-0.4159998893737793,-0.9749853014945984,-0.53653484582901,-0.0022420287132263184,-0.5612274408340454
A15UIL7ETZEAYU,head_hit,3,-1.163466453552246,-2.5683822631835938,-1.3064889907836914,-1.5500319004058838,-1.4049158096313477,-0.1430225372314453,-0.3865654468536377
AX2FWBYYFEVCS,head_hit,3,-0.4158709943294525,-1.935015082359314,-0.4409525394439697,-1.4350979328155518,-1.5191440880298615,-0.025081545114517212,-1.0192269384860992
AZ09VU36EIHDT,head_hit,5,-0.8445852398872375,-2.0507147312164307,-0.7815238833427429,-1.1240631341934204,-1.2061294913291931,0.06306135654449463,-0.27947789430618286
A11IFBSF8AMW9M,head_hit,7,-0.770443320274353,-1.6694471836090088,-0.855125904083252,-0.8531544804573059,-0.8990038633346558,-0.08468258380889893,-0.08271116018295288
A2F7QC6Q9KP5SV,head_hit,4,-0.9765557050704956,-1.5474642515182495,-0.9097583889961243,-0.7485023736953735,-0.5709085464477539,0.06679731607437134,0.22805333137512207
A2WHXX3Y3GDHXU,head_hit,3,-1.1628879308700562,-1.4111419916152954,-1.2357183694839478,-1.2689335346221924,-0.24825406074523926,-0.0728304386138916,-0.10604560375213623
A1P8TYY40A4FE8,head_hit,3,-0.05084747076034546,-0.40171805024147034,-0.061051785945892334,-1.6153713464736938,-0.3508705794811249,-0.010204315185546875,-1.5645238757133484
A1JAM10N2I0X4O,head_hit,3,-0.6369277238845825,-1.462206482887268,-0.7175841331481934,-0.5560555458068848,-0.8252787590026855,-0.08065640926361084,0.08087217807769775
A28WYYIWBDVB9A,head_hit,4,-1.0068180561065674,-1.459716558456421,-1.1231749057769775,-1.0891778469085693,-0.4528985023498535,-0.11635684967041016,-0.08235979080200195
A24MXGJJD8OSUT,head_hit,4,-0.41510096192359924,-0.8947116732597351,-0.3273094594478607,-0.8766986131668091,-0.47961071133613586,0.08779150247573853,-0.46159765124320984
A20JN99GNYII7Q,head_hit,6,-1.0966037511825562,-0.8803208470344543,-1.1013081073760986,-1.228182077407837,0.2162829041481018,-0.0047043561935424805,-0.13157832622528076
A29HCH8AZRNH90,head_hit,16,-0.8248464465141296,-1.120086669921875,-0.7726022601127625,-1.3265196084976196,-0.29524022340774536,0.05224418640136719,-0.50167316198349
A1BTG38XSGYLW3,head_hit,6,-0.7044709920883179,-0.8069702386856079,-0.6284635663032532,-0.8976537585258484,-0.10249924659729004,0.0760074257850647,-0.19318276643753052
A1IZRHRQNF3HSQ,head_hit,3,-1.1288173198699951,-1.2594630718231201,-1.0335321426391602,-1.39921236038208,-0.130645751953125,0.09528517723083496,-0.27039504051208496
A3USJUE6A0VPSK,head_hit,13,-1.2537634372711182,-1.7221378087997437,-1.1788299083709717,-0.975738525390625,-0.4683743715286255,0.07493352890014648,0.27802491188049316
A3EJ8XHVDC0CWH,head_hit,8,-0.9354888796806335,-1.5477790832519531,-0.9320071339607239,-1.4401628971099854,-0.6122902035713196,0.003481745719909668,-0.5046740174293518
A3JM4IBJ42RY2F,head_hit,3,-0.9066136479377747,-0.8178247213363647,-0.933728039264679,-0.8565413355827332,0.08878892660140991,-0.027114391326904297,0.050072312355041504
A2MJK3LXJJ9MAQ,head_hit,4,-1.1608736515045166,-1.869096040725708,-1.1621347665786743,-1.399275302886963,-0.7082223892211914,-0.0012611150741577148,-0.2384016513824463
A2HD9RUV2OQXN1,head_hit,3,-1.0825138092041016,-1.6780316829681396,-1.2545230388641357,-0.869650661945343,-0.5955178737640381,-0.17200922966003418,0.21286314725875854
A1RTSVWEXMKAR1,head_hit,15,-0.7994816899299622,-2.457463026046753,-0.7912206649780273,-0.5716434717178345,-1.6579813361167908,0.008261024951934814,0.22783821821212769
A2H6HFOZP0CL4F,head_hit,5,-0.978589653968811,-0.9193862080574036,-0.8360773921012878,-1.1572363376617432,0.05920344591140747,0.1425122618675232,-0.17864668369293213
A2A0Z3DDCFPOAI,head_hit,3,-0.8951355218887329,-0.8572041392326355,-0.9156649708747864,-0.8641899228096008,0.03793138265609741,-0.020529448986053467,0.03094559907913208
A2WD00B0BWJ24E,head_hit,8,-1.0331909656524658,-1.0360426902770996,-1.0331271886825562,-1.0218350887298584,-0.002851724624633789,6.377696990966797e-05,0.011355876922607422
A6UUBR3GRONM3,head_hit,3,-1.043172836303711,-3.009343147277832,-1.190981149673462,-1.532602310180664,-1.966170310974121,-0.14780831336975098,-0.4894294738769531
A2OTXT99VQQG3A,head_hit,3,-0.8361560702323914,-1.1935157775878906,-0.9173817038536072,-1.032300591468811,-0.35735970735549927,-0.08122563362121582,-0.19614452123641968
ANLA1I2WJ8J97,head_hit,8,-0.9496291279792786,-1.1910181045532227,-0.827635645866394,-0.7885822057723999,-0.2413889765739441,0.12199348211288452,0.16104692220687866
A1GCGLDIX0CPZG,head_hit,3,-1.083810806274414,-1.2748838663101196,-1.1370640993118286,-1.0818461179733276,-0.19107306003570557,-0.05325329303741455,0.0019646883010864258
AZKEEN59Z97UP,head_hit,8,-1.2405197620391846,-1.464242935180664,-1.2275350093841553,-1.725571632385254,-0.2237231731414795,0.012984752655029297,-0.48505187034606934
A2IB3HNNJ6MZA2,head_hit,3,-1.162976622581482,-1.1074862480163574,-1.1283220052719116,-1.1412676572799683,0.05549037456512451,0.03465461730957031,0.021708965301513672
