hypothesis,config_id,code_sha256,dataset,split_hash,seed,gpu_budget_hours,status,validation_ndcg@10,validation_ndcg@10_relative_delta,active_rate,dataset_pass,promotion_decision
H2_reliability_abstention,S0b_b0_l0.05_t0.5_s2,a6de7979b09cedcf6fba51cb75792255f514400e00502231b9c137023f0a38ad,Beauty,2f5a0ed694ec9b3e07cc93fe86cf7569f62d5fd95853dfd1e869c72a1c1a1892,2023,0,ANALYZED,0.06515879442821852,0.0028487176699933947,0.9839914143898404,False,reject
H2_reliability_abstention,S0b_b0_l0.05_t0.75_s1,a6de7979b09cedcf6fba51cb75792255f514400e00502231b9c137023f0a38ad,Beauty,2f5a0ed694ec9b3e07cc93fe86cf7569f62d5fd95853dfd1e869c72a1c1a1892,2023,0,ANALYZED,0.06529251041710295,0.0049067193436191925,0.9049769708894155,False,reject
H2_reliability_abstention,S0b_b0_l0.05_t0.75_s2,a6de7979b09cedcf6fba51cb75792255f514400e00502231b9c137023f0a38ad,Beauty,2f5a0ed694ec9b3e07cc93fe86cf7569f62d5fd95853dfd1e869c72a1c1a1892,2023,0,ANALYZED,0.06517689744911895,0.003127338406537783,0.9049769708894155,False,reject
H2_reliability_abstention,S0b_b0_l0.2_t0.5_s1,a6de7979b09cedcf6fba51cb75792255f514400e00502231b9c137023f0a38ad,Beauty,2f5a0ed694ec9b3e07cc93fe86cf7569f62d5fd95853dfd1e869c72a1c1a1892,2023,0,ANALYZED,0.06448629528074605,-0.007501610533514169,0.9839914143898404,False,reject
H2_reliability_abstention,S0b_b0_l0.2_t0.5_s2,a6de7979b09cedcf6fba51cb75792255f514400e00502231b9c137023f0a38ad,Beauty,2f5a0ed694ec9b3e07cc93fe86cf7569f62d5fd95853dfd1e869c72a1c1a1892,2023,0,ANALYZED,0.06497066248028689,-4.6791438049531564e-05,0.9839914143898404,False,reject
H2_reliability_abstention,S0b_b0_l0.2_t0.75_s1,a6de7979b09cedcf6fba51cb75792255f514400e00502231b9c137023f0a38ad,Beauty,2f5a0ed694ec9b3e07cc93fe86cf7569f62d5fd95853dfd1e869c72a1c1a1892,2023,0,ANALYZED,0.06450341981713027,-0.007238049497673815,0.9049769708894155,False,reject
H2_reliability_abstention,S0b_b0_l0.2_t0.75_s2,a6de7979b09cedcf6fba51cb75792255f514400e00502231b9c137023f0a38ad,Beauty,2f5a0ed694ec9b3e07cc93fe86cf7569f62d5fd95853dfd1e869c72a1c1a1892,2023,0,ANALYZED,0.06501722879747611,0.0006699033978450064,0.9049769708894155,False,reject
H2_reliability_abstention,S0b_b0.25_l0.05_t0.5_s1,a6de7979b09cedcf6fba51cb75792255f514400e00502231b9c137023f0a38ad,Beauty,2f5a0ed694ec9b3e07cc93fe86cf7569f62d5fd95853dfd1e869c72a1c1a1892,2023,0,ANALYZED,0.06515101722132884,0.002729019906632102,0.9873004516388678,False,reject
H2_reliability_abstention,S0b_b0.25_l0.05_t0.5_s2,a6de7979b09cedcf6fba51cb75792255f514400e00502231b9c137023f0a38ad,Beauty,2f5a0ed694ec9b3e07cc93fe86cf7569f62d5fd95853dfd1e869c72a1c1a1892,2023,0,ANALYZED,0.06513192147180806,0.0024351202406251993,0.9873004516388678,False,reject
H2_reliability_abstention,S0b_b0.25_l0.05_t0.75_s1,a6de7979b09cedcf6fba51cb75792255f514400e00502231b9c137023f0a38ad,Beauty,2f5a0ed694ec9b3e07cc93fe86cf7569f62d5fd95853dfd1e869c72a1c1a1892,2023,0,ANALYZED,0.0651784981193306,0.0031519740690491016,0.9190627375575727,False,reject
H2_reliability_abstention,S0b_b0.25_l0.05_t0.75_s2,a6de7979b09cedcf6fba51cb75792255f514400e00502231b9c137023f0a38ad,Beauty,2f5a0ed694ec9b3e07cc93fe86cf7569f62d5fd95853dfd1e869c72a1c1a1892,2023,0,ANALYZED,0.0651487593448766,0.0026942692866327445,0.9190627375575727,False,reject
H2_reliability_abstention,S0b_b0.25_l0.2_t0.5_s1,a6de7979b09cedcf6fba51cb75792255f514400e00502231b9c137023f0a38ad,Beauty,2f5a0ed694ec9b3e07cc93fe86cf7569f62d5fd95853dfd1e869c72a1c1a1892,2023,0,ANALYZED,0.06443803364071625,-0.008244397815587834,0.9873004516388678,False,reject
H2_reliability_abstention,S0b_b0.25_l0.2_t0.5_s2,a6de7979b09cedcf6fba51cb75792255f514400e00502231b9c137023f0a38ad,Beauty,2f5a0ed694ec9b3e07cc93fe86cf7569f62d5fd95853dfd1e869c72a1c1a1892,2023,0,ANALYZED,0.06476484935166267,-0.0032144288065988347,0.9873004516388678,False,reject
H2_reliability_abstention,S0b_b0.25_l0.2_t0.75_s1,a6de7979b09cedcf6fba51cb75792255f514400e00502231b9c137023f0a38ad,Beauty,2f5a0ed694ec9b3e07cc93fe86cf7569f62d5fd95853dfd1e869c72a1c1a1892,2023,0,ANALYZED,0.06446024774846469,-0.007902503990430465,0.9190627375575727,False,reject
H2_reliability_abstention,S0b_b0.25_l0.2_t0.75_s2,a6de7979b09cedcf6fba51cb75792255f514400e00502231b9c137023f0a38ad,Beauty,2f5a0ed694ec9b3e07cc93fe86cf7569f62d5fd95853dfd1e869c72a1c1a1892,2023,0,ANALYZED,0.06480437322438129,-0.0026061231216788494,0.9190627375575727,False,reject
HBTR_B1_correctness,hbtr_b1_smoke_attempt1,9584cdf5c92d93e502408eca71fd1d205996b047a4bd9d5cfc8c93f9f0980d7c,Toys,dff96550d819a94de64319ef199f527cfa39dd8646b941e9b43bf06342b81a92,2023,0.00862,ANALYZED,,,0.12,False,repair_weight_branch_coverage
HBTR_B1_correctness,hbtr_b1_smoke_attempt1,9584cdf5c92d93e502408eca71fd1d205996b047a4bd9d5cfc8c93f9f0980d7c,Beauty,a8c449fb4fe9acee9f199fb6cf402cffc819d238e48236fa5e30e3f070043904,2023,0.00957,ANALYZED,,,0.21,False,repair_weight_branch_coverage
HBTR_B1_correctness,hbtr_b1_smoke_repair,dc1106baa1638af161aad3413bc950f93608db3c210c1428b6edf904e203f47e,Toys,dff96550d819a94de64319ef199f527cfa39dd8646b941e9b43bf06342b81a92,2023,0.00848,ANALYZED,,,0.12,True,pilot_design_only
HBTR_B1_correctness,hbtr_b1_smoke_repair,dc1106baa1638af161aad3413bc950f93608db3c210c1428b6edf904e203f47e,Beauty,a8c449fb4fe9acee9f199fb6cf402cffc819d238e48236fa5e30e3f070043904,2023,0.00969,ANALYZED,,,0.21,True,pilot_design_only
MARC_L0_utility_learnability,marc_l0_attempt1_invalid_full20_source_reference,465758800cb8e8d573a7b2e42f5d9c6614c2894b578c6172bd39b22c79dcaea7,Toys,9f46096596377c8b75ec17fc34a4cf19c08631c791ebbc109ecf67c487bd6777,20260724,0.05071,EXECUTION_INVALID,,,,False,invalid_source_reference
MARC_L0_utility_learnability,marc_l0_attempt1_invalid_full20_source_reference,465758800cb8e8d573a7b2e42f5d9c6614c2894b578c6172bd39b22c79dcaea7,Beauty,18a82853a676ccddf060191747c98a6fa95311dd6988850d1ab77b564a916a66,20260724,0.05071,EXECUTION_INVALID,,,,False,invalid_source_reference
MARC_L0_utility_learnability,marc_l0_v2_source_reference_repair,fd87bbe6bd1537387897b02954ea4760179e90eeabc5b29fe28a05bc51a825c8,Toys,9f46096596377c8b75ec17fc34a4cf19c08631c791ebbc109ecf67c487bd6777,20260724,0.05306,ANALYZED,,,,False,stop_marc_no_utility_heterogeneity
MARC_L0_utility_learnability,marc_l0_v2_source_reference_repair,fd87bbe6bd1537387897b02954ea4760179e90eeabc5b29fe28a05bc51a825c8,Beauty,18a82853a676ccddf060191747c98a6fa95311dd6988850d1ab77b564a916a66,20260724,0.05306,ANALYZED,,,,False,stop_marc_no_utility_heterogeneity
