sample_key,user_id,target_group,competitive_steps,max_illegal_mass,mean_loss_gap
A1B0N7WV5RR9VS:6:B000S17LA8,A1B0N7WV5RR9VS,head,3,0.15182077884674072,0.07416470845540364
A1BOJ3936IE1E0:6:B00006FDLT,A1BOJ3936IE1E0,tail,3,0.08595561981201172,0.03525861104329427
A1C02Z83O2MJHO:9:1564518531,A1C02Z83O2MJHO,tail,3,0.04429060220718384,0.027505874633789062
A1C157FRUD6JXH:4:B002WDKA6W,A1C157FRUD6JXH,tail,4,0.004295647144317627,0.001664876937866211
A1C9RXXYKVZD0Q:1:B000197NXM,A1C9RXXYKVZD0Q,head,4,0.04007238149642944,0.01792287826538086
A1CIW2OEVAJRM2:24:B007515EVC,A1CIW2OEVAJRM2,tail,4,0.01675713062286377,0.006759285926818848
A1CKCGZIHFBUR1:4:B0012534TG,A1CKCGZIHFBUR1,tail,3,0.07158631086349487,0.03303400675455729
A1CNI382AJ17T5:3:B001BKX0V4,A1CNI382AJ17T5,head,4,0.035329580307006836,0.011783123016357422
A1DD9MSMEKYOVW:89:B003COZJXO,A1DD9MSMEKYOVW,tail,5,0.026947319507598877,0.011883354187011719
A1DNYGN6CYWJKZ:2:B009T45XN2,A1DNYGN6CYWJKZ,head,4,0.011904776096343994,0.005951881408691406
A1E1LEVQ9VQNK:7:B00ARQW1C2,A1E1LEVQ9VQNK,head,3,0.013731241226196289,0.005575815836588542
A1E6IYIZ7BN9KC:2:0976990709,A1E6IYIZ7BN9KC,head,4,0.04562222957611084,0.021499156951904297
A1EWN05O1U1NTA:6:B000M5J7W0,A1EWN05O1U1NTA,head,4,0.012566089630126953,0.007217884063720703
A1FDRF4X6XK7YB:6:B00CHWZ47S,A1FDRF4X6XK7YB,tail,4,0.011484503746032715,0.003686875104904175
A1FVD7AOS18DW4:3:B001TJ8ITQ,A1FVD7AOS18DW4,head,4,0.25280821323394775,0.0821608304977417
A1G836QEJX40XL:2:B000CBWVE0,A1G836QEJX40XL,tail,3,0.019457757472991943,0.011897087097167969
A1G8Z3K7X2VO2X:2:B001JTE2KU,A1G8Z3K7X2VO2X,tail,3,0.03354501724243164,0.020079930623372395
A1GCFTFXELCHRP:6:B004NSUIJ8,A1GCFTFXELCHRP,tail,3,0.09751909971237183,0.043497721354166664
A1GKSZ8I34QITO:4:B00804BDE0,A1GKSZ8I34QITO,head,3,0.06101864576339722,0.026630401611328125
A1H4IG6PK1O1MO:12:B001KY8836,A1H4IG6PK1O1MO,tail,4,0.004301309585571289,0.0013458728790283203
A1H6MJI466CHKL:1:B004A8ZRBA,A1H6MJI466CHKL,head,5,0.06830990314483643,0.02121906280517578
A1HHZ17PGIMHCG:1:B00AMOK7XY,A1HHZ17PGIMHCG,tail,3,0.127325177192688,0.05106925964355469
A1HIFXTGJ9WLRQ:2:B004SCELN8,A1HIFXTGJ9WLRQ,tail,3,0.3117032051086426,0.13477071126302084
A1HVRGC4PC700B:1:B004TBN4AE,A1HVRGC4PC700B,tail,3,0.03772956132888794,0.025539716084798176
A1HYARAPF3E1GF:4:B008A078Z2,A1HYARAPF3E1GF,tail,4,0.005857408046722412,0.002111077308654785
A1I7X9OCFFF5M9:5:B000283X3G,A1I7X9OCFFF5M9,tail,3,0.18989413976669312,0.07749303181966145
A1IBKN1GXYJ3K4:22:B00CDGA69Y,A1IBKN1GXYJ3K4,head,4,0.009408295154571533,0.0029604434967041016
A1IKU3OV2ZG87I:3:B008FSCGFQ,A1IKU3OV2ZG87I,tail,3,0.11040514707565308,0.061091105143229164
A1IWAEUWZBKIU5:2:B0009XBY30,A1IWAEUWZBKIU5,head,4,0.06396377086639404,0.021123409271240234
A1J6DWEEUC2H1D:5:B008ML1S9G,A1J6DWEEUC2H1D,tail,4,0.14147400856018066,0.05317068099975586
A1J8KMRU2EO4J7:2:B004PBJOD4,A1J8KMRU2EO4J7,head,3,0.039891064167022705,0.024780909220377605
A1JGGR7SKU1T8W:1:B001ARYDFA,A1JGGR7SKU1T8W,tail,3,0.05614900588989258,0.025709152221679688
A1KB6PCFL2REFT:2:B003O85K2S,A1KB6PCFL2REFT,head,5,0.019719481468200684,0.008313179016113281
A1KDU8GVKJAJV8:1:B002QNM8NQ,A1KDU8GVKJAJV8,head,3,0.04874807596206665,0.019578297932942707
A1KGWUYXUBEMB2:28:B00F6N0MGI,A1KGWUYXUBEMB2,head,3,0.003191649913787842,0.0016075770060221355
A1KI3173CO6TK2:12:B0002HWFBS,A1KI3173CO6TK2,head,3,0.05265450477600098,0.024173418680826824
A1KTUN83EOUTGU:4:B0085UA9VC,A1KTUN83EOUTGU,head,3,0.116610586643219,0.0484765370686849
A1KU2VHK8BECRW:3:B0042TBGC6,A1KU2VHK8BECRW,head,3,0.16681283712387085,0.07189242045084636
A1KUOIHEOZ7C0C:2:B000BR9DPK,A1KUOIHEOZ7C0C,tail,3,0.01411581039428711,0.009081204732259115
A1L3QNX7R1RZ3G:2:B00000JPES,A1L3QNX7R1RZ3G,tail,3,0.036813318729400635,0.017761866251627605
A1L6PD52EJ98IK:9:B002PUD6RC,A1L6PD52EJ98IK,tail,3,0.01452946662902832,0.008172035217285156
A1LCN7LLVB47KN:1:B00186FCX0,A1LCN7LLVB47KN,tail,4,0.03437232971191406,0.018335342407226562
A1LG1DKUZXGJ6J:17:B005KITK6C,A1LG1DKUZXGJ6J,tail,2,0.05683279037475586,0.02955150604248047
A1LG3XJBNCGKL0:2:B00ATA2TB4,A1LG3XJBNCGKL0,tail,4,0.040895938873291016,0.01358485221862793
A1M8AYAL3L8ACP:37:B001WRSER6,A1M8AYAL3L8ACP,head,3,0.09493160247802734,0.04146893819173177
A1MF49W2L3JYJA:1:B004TGPQDW,A1MF49W2L3JYJA,tail,3,0.11208337545394897,0.04743321736653646
A1NIGUK4M2ST8:10:B004OS8J98,A1NIGUK4M2ST8,head,3,0.013567566871643066,0.005673726399739583
A1NQKWS81ENDTV:16:B002MUM9DC,A1NQKWS81ENDTV,tail,3,0.026999294757843018,0.010175546010335287
A1O8GR3RFO0DH8:2:B00008BFZH,A1O8GR3RFO0DH8,head,4,0.03072422742843628,0.012351036071777344
A1OIQJ6NXBE826:10:B000A7S5AK,A1OIQJ6NXBE826,tail,4,0.003453969955444336,0.0012540817260742188
A1OZRZCVFONZ7P:3:B0015AM26E,A1OZRZCVFONZ7P,head,4,0.08514106273651123,0.029164552688598633
A1P354IBQL8838:3:B0008FUCY6,A1P354IBQL8838,tail,3,0.3219476342201233,0.1387303670247396
A1PBLFIRAZII1F:1:B001D0C70C,A1PBLFIRAZII1F,head,3,0.06597548723220825,0.034510294596354164
A1PE07FDHM05I7:2:B004VYVR1M,A1PE07FDHM05I7,tail,4,0.037993788719177246,0.012355081737041473
A1PI8VBCXXSGC7:1:B002DHC6FA,A1PI8VBCXXSGC7,head,3,0.04371440410614014,0.030399322509765625
A1PQH2Q3HATCT4:2:B001KPQ7K6,A1PQH2Q3HATCT4,tail,3,0.027833998203277588,0.017101287841796875
A1PSOVIQK992SV:12:B0028SZ9X0,A1PSOVIQK992SV,tail,4,0.07929438352584839,0.024016261100769043
A1PZO13IAKZRQ5:6:B002BHDXY0,A1PZO13IAKZRQ5,tail,3,0.025260627269744873,0.01392364501953125
A1Q48I7K1Y6K5T:8:B00A92GJIQ,A1Q48I7K1Y6K5T,tail,3,0.043103158473968506,0.02544116973876953
A1Q6MHDUPNV6P7:4:B00BIDJP2W,A1Q6MHDUPNV6P7,head,3,0.03305637836456299,0.020837148030598957
A1Q9UVHD2PGCVU:33:B005VPRFRU,A1Q9UVHD2PGCVU,tail,4,0.005113840103149414,0.0014165639877319336
A1QBOC76MIOJYP:7:B007U7M02C,A1QBOC76MIOJYP,head,3,0.012455940246582031,0.007327715555826823
A1QIG8RJL0KF1G:1:B000GKE2N0,A1QIG8RJL0KF1G,head,3,0.024650633335113525,0.016069412231445312
A1QTM7NWYL49X8:6:B00ATX7JPM,A1QTM7NWYL49X8,head,3,0.20876890420913696,0.0874315897623698
A1QWMH66PHTJYR:6:B00000JIVS,A1QWMH66PHTJYR,head,4,0.12184345722198486,0.04248809814453125
A1R27Q9GNRUGQQ:2:B0050PJIPS,A1R27Q9GNRUGQQ,head,4,0.04291337728500366,0.018428802490234375
A1R48YW7BSTEH8:1:B004CLZRVU,A1R48YW7BSTEH8,tail,3,0.03175342082977295,0.016639073689778645
A1RBEJ5UQ1RWAW:3:B001PAHGJM,A1RBEJ5UQ1RWAW,head,4,0.03805440664291382,0.015555381774902344
