dataset,training_samples,eligible_rows,eligible_all_rate,pair_count,prefix_nontrivial_pairs,prefix_nontrivial_pair_rate,prefix_nontrivial_rows,prefix_nontrivial_row_rate,prefix_nontrivial_all_rate,tail_nontrivial_rows,tail_nontrivial_row_rate,tail_nontrivial_all_rate,joint_nontrivial_rows,joint_nontrivial_row_rate,joint_nontrivial_all_rate,training_popularity_median
Toys,10840,2361,0.21780442804428043,9444,2648,0.2803896653960186,1039,0.44006776789495977,0.09584870848708488,207,0.08767471410419314,0.019095940959409596,129,0.054637865311308764,0.011900369003690037,6.0
Beauty,13076,2368,0.18109513612725603,9472,1466,0.15477195945945946,781,0.3298141891891892,0.059727745487916796,91,0.03842905405405406,0.006959314775160599,57,0.024070945945945946,0.004359131232792903,7.0
