set_id,depth,children,current_mean_margin,assigned_mean_margin,margin_gain,feasible,improved,mean_representativeness_retention
5feceb66ffc86f38,0,30,0.11554124579240672,0.120041687417217,0.004500441624810281,1,1,1.1240051205127086
37dfe8663b4bdd9a,1,21,0.24115107154404405,0.25133502707355776,0.010183955529513705,1,1,0.9966163322802999
28746209e19a3cfe,2,24,0.31051237673389415,0.3325995837088644,0.02208720697497024,1,1,1.023182114688982
a934f1a8321f30cc,3,2,0.2320449580111279,0.3076408600596808,0.07559590204855288,1,1,0.8380364639341892
f81932c1070494a8,1,20,0.20639823165112378,0.21040004659385358,0.004001814942729803,1,1,0.9846802153762418
f81de39c797d035b,2,72,0.26547360226136807,0.2788264202918493,0.013352818030481217,1,1,1.0315182910072673
991682d782149cf4,1,24,0.1724843010935484,0.17946767257606677,0.006983371482518375,1,1,1.0153955199712514
7698eb27faa27492,2,28,0.22239586131528677,0.25497472829714163,0.03257886698185486,1,1,1.1057213788797586
fe9ccde1aa709f80,1,29,0.1339161969576159,0.14150694103596198,0.00759074407834609,1,1,1.0572539377276469
a201c1ec933f4dee,2,31,0.3019327741066123,0.3316551526865117,0.0297223785798994,1,1,1.1197299026991823
77b6ac9613c4025d,1,24,0.19040600828746604,0.19236416235221318,0.001958154064747142,1,1,1.0762077339343854
df43e83861839e42,2,15,0.304333260024548,0.32934134514734653,0.025008085122798507,1,1,1.0669824552421694
3fd9566ccb2032d1,1,23,0.15395412431126035,0.1664659052327277,0.012511780921467347,1,1,1.0837514985409862
fb40fb26f43551cf,2,71,0.17301160314651795,0.1893669844490643,0.01635538130254635,1,1,1.0592066988264726
ea72b56cd521add6,1,27,0.20058985177237276,0.20410500513304497,0.0035151533606722074,1,1,1.0496217258191531
a62924ae89ffc0fa,2,13,0.20063575423800134,0.20013319986702746,-0.0005025543709738789,1,0,1.2137279167417225
acd7e40b70db2906,3,2,0.1685694620712358,0.17031635513422197,0.0017468930629861712,1,1,1.0265837537698714
98ad0667a8306f74,4,2,0.24597716628412108,0.20621500103591917,-0.03976216524820192,1,0,1.680691183576583
766db0175619a431,2,12,0.27745026312778276,0.3012267452810717,0.023776482153288925,1,1,1.0305322688107317
8aa2e959172ea0ff,3,7,0.14312935032780408,0.20665215882778984,0.06352280849998576,1,1,1.617426366106918
8707682034570f02,2,100,0.29306938045271724,0.32054571872027304,0.0274763382675558,1,1,1.0631819517146461
5f29493cd10ed9c5,2,21,0.20364842002755604,0.2127240579507364,0.009075637923180363,1,1,1.0738036628568222
32e1bd2cd46c5820,5,3,0.0,0.15193453498296133,0.15193453498296133,1,1,1.0
a09fda299a7e44bf,1,29,0.20324945851890128,0.22209714068360056,0.018847682164699286,1,1,1.0600229267521606
e3ad9f0f54821c23,2,2,0.37997888893076237,0.37997888893076237,0.0,1,0,1.0
0a6ee9d4640c3ec3,1,44,0.19627921691179206,0.20499850321493832,0.00871928630314625,1,1,1.0276998714675163
a5b8bf50bb6215da,2,96,0.25202570234861,0.27423071768585217,0.022205015337242173,1,1,1.047675503317761
d8b39f47b8faaabb,3,2,0.3989953501014299,0.3989953501014299,0.0,1,0,1.0
1a5d6557eab6244c,3,3,0.240198122542271,0.3190891543519922,0.07889103180972121,1,1,0.9825744566512203
e5b3190ee1087cd9,1,19,0.13444459756812052,0.14068717266082553,0.0062425750927050105,1,1,1.0744349269192544
282555977f14e44c,2,42,0.19343036877288333,0.22203477818679704,0.028604409413913706,1,1,1.1232261583634628
3d6230069ac9011b,3,2,0.20070568557961396,0.17875077537196593,-0.021954910207648032,1,0,1.5329518651884324
a5d38316d3e0c2d5,2,23,0.33071102041109685,0.349197828436701,0.01848680802560415,1,1,1.0286008564185354
dd33c158b1374847,3,3,0.2428315820672987,0.20377002047784556,-0.03906156158945315,1,0,2.0087167066037384
4cbc8d53c5787d25,2,37,0.26709561058010584,0.3153421193529939,0.04824650877288805,1,1,1.0575509617520877
f42e28abe8008814,3,3,0.2465993838242501,0.23239093724193616,-0.014208446582313933,1,0,1.400239525312989
76c7349d875a44ea,2,7,0.34432805915595105,0.351273029275006,0.006944970119054927,1,1,1.0216845656068168
e2cf80e904a46b89,3,14,0.14048908187476905,0.12608976788233658,-0.014399313992432466,1,0,1.2686075335046851
68e4dd93b38a4e64,4,22,0.12056401888097534,0.11580232682237314,-0.004761692058602204,1,0,1.2498340505825887
c771b771b35985ec,5,5,0.0,0.05114941384117401,0.05114941384117401,1,1,1.0
24eb296fea81a2d1,1,26,0.173761281213581,0.20226129136873966,0.028500010155158656,1,1,1.174507872314428
3c74cc76ac49f18e,2,5,0.17868620658719137,0.1510350238021943,-0.027651182784997064,1,0,1.2532676133157281
d486c096cf5f297a,3,2,-0.00013148475127491843,0.029502832440461646,0.029634317191736564,1,1,1.8196364882659541
05fff0fccbf9cbdc,2,14,0.2976622628718363,0.28034893019760226,-0.017313332674234017,1,0,1.2077540104147038
eb15a89115c3aac9,1,27,0.19287472875516995,0.20382299319538527,0.010948264440215322,1,1,1.0511101586287077
7a2e2ab39d6e1fe9,2,30,0.3338936517289001,0.35279013390623987,0.018896482177339746,1,1,1.0510450411475794
2233840045a66e45,1,29,0.19863295574912904,0.21434884950108263,0.01571589375195359,1,1,1.0444117886199105
ee1f495389b6f4de,2,4,0.16371947039590576,0.24450178990348864,0.08078231950758288,1,1,1.1276613083498837
b8cd9ed869769279,1,25,0.15114509520724673,0.16036847039630106,0.009223375189054334,1,1,1.1872670505484075
fc2ee080e8058341,2,8,0.22517723064823814,0.25511518911240133,0.029937958464163195,1,1,1.0457562022922229
6b6ec930e2545bec,1,21,0.21073186823819182,0.21653111124001545,0.005799243001823634,1,1,0.9844877206225668
ea00829112962e6c,2,4,0.37103824682853054,0.37553110938455675,0.004492862556026211,1,1,1.012799915693774
d1eceae233b67a33,3,2,0.1801154274197686,0.26883020464541457,0.08871477722564597,1,1,1.5159308837763277
e949878ed3763d36,2,16,0.25410869352698523,0.30324418764984656,0.049135494122861334,1,1,1.0043804519092028
fea0875a26dd681b,1,25,0.17912202390061363,0.18013563362817053,0.0010136097275569023,1,1,1.0035495103021228
f8215a5eb4599d10,2,12,0.33339683477984283,0.3363355733144011,0.002938738534558283,1,1,1.0731000526772856
4648821dd711665b,1,53,0.15538798445287344,0.16732643234712005,0.011938447894246612,1,1,1.0333421819896913
516a5ef596a1e6b7,2,11,0.3553216584271563,0.3852276829584465,0.02990602453129021,1,1,1.0286283996956669
ab48f3e88682dc6a,1,31,0.1591322188857192,0.18018332402759712,0.021051105141877913,1,1,1.2546835690978868
348d19479ccd99b6,2,28,0.18022161249601562,0.20794370863952025,0.027722096143504626,1,1,1.074947831482441
ef1f2575b4706fd7,3,9,0.3349355121796627,0.3503545219042992,0.015419009724636501,1,1,1.0573755628753103
1e3e50605a5beff0,2,8,0.2588516221841211,0.29421586878299755,0.035364246598876437,1,1,1.265893841008356
b9f8c6ee69b12ee8,3,5,0.19798316526628956,0.2415806200506589,0.04359745478436933,1,1,1.4930842777378108
ec55142f92523f6a,2,32,0.3073712858614165,0.3369602685113063,0.029588982649889795,1,1,1.0997755199684662
56b231dc0eb05db7,1,22,0.1798269387076288,0.18812613895554522,0.008299200247916416,1,1,1.0605519087640156
67d284ee4daccfc8,2,10,0.2620216602031985,0.28624231734800304,0.024220657144804536,1,1,1.0412617049331476
36f52ad5a4ba78dd,3,2,0.16452301266045388,0.21343531200830307,0.048912299347849186,1,1,1.257278445895952
0e8595b714279dda,2,49,0.24381485027509908,0.27859225246885866,0.03477740219375958,1,1,1.0926078012028198
c3179495af4e716c,2,17,0.21353158234287864,0.23309451386586894,0.019562931522990296,1,1,1.052634462705431
ac35940fd556c222,3,3,0.1831874464005769,0.18380690842457229,0.0006194620239953763,1,1,1.0045797179721807
0ef8a81c64f62d4e,2,25,0.2704098812222527,0.2899876877210566,0.019577806498803918,1,1,1.0937612256619886
5c342bb398870cf1,2,13,0.24573791097110037,0.29850843127940674,0.05277052030830637,1,1,1.001395521193849
c36e9056910ee385,4,3,0.050047245470872165,0.056524413443791395,0.00647716797291923,1,1,1.5037888321900692
d034917d9bec683b,3,21,0.3109214096811992,0.3576412861575398,0.04671987647634063,1,1,1.0336627173498638
e2fee1255df29096,1,28,0.25020976005236584,0.28449193743906137,0.034282177386695534,1,1,1.0453945667093756
f6fbb2896bd12a8a,3,2,0.07295998411661216,0.2054818749780817,0.13252189086146954,1,1,1.2000392564393212
e0eb72c534230807,3,7,0.3451322339147675,0.3476419896105768,0.0025097556958093015,1,1,1.1529544980688442
3ad33a1fb4f50628,2,19,0.2805266401920476,0.29492842326267854,0.014401783070630947,1,1,1.2335491320430603
9df8cf30501056f7,2,32,0.2988769462263587,0.31564625481804354,0.01676930859168485,1,1,1.029288491182012
2aec965c6377510a,3,3,0.2358437137980858,0.27935593798571307,0.04351222418762726,1,1,2.123493146963883
ffb1a67fa0503f96,2,2,0.2570969475622358,0.2747368877152219,0.017639940152986144,1,1,1.1522631567481774
6d7154c6eb4eb8e4,3,3,0.07038870010788059,0.06411642045375475,-0.006272279654125842,1,0,2.6649681092940667
06eb72fe9609b488,2,186,0.24680720548066976,0.2682492905395553,0.021442085058885563,1,1,1.0607052958915373
52bc39dec2ead62f,3,2,1.0460098363571091e-05,0.03816577629219027,0.0381553161938267,1,1,1.2338234019983503
b4ea426c8cb0e4ee,5,2,0.0,0.14525782072950766,0.14525782072950766,1,1,1.0
2c27914ea0c56745,2,16,0.38454878686347826,0.38438505009711377,-0.0001637367663644973,1,0,1.0814449865867677
d7f87dfd4979f920,2,10,0.16689669743550498,0.2184531385118537,0.051556441076348714,1,1,1.027620271482363
47f227cfe1a1fab7,3,2,0.2695854671276403,0.3002164343242719,0.03063096719663161,1,1,1.10362034971467
e620d7039cfec296,2,59,0.24414342526214186,0.26239965034540286,0.018256225083260996,1,1,1.10633593493848
eb8de7ffefe6781e,2,22,0.2665554502983433,0.2766302230157349,0.0100747727173916,1,1,1.0864970195862844
ee2c130f77637d73,4,2,0.05329055196700838,0.054367233311493623,0.0010766813444852419,1,1,1.3097024137724236
736a24baa0c4a004,5,2,0.0,0.0001813066846464012,0.0001813066846464012,1,1,1.0
c603cd9c14745531,2,40,0.25698443756786676,0.26850396149372385,0.01151952392585709,1,1,1.0304947537445623
87be15a07f98be85,1,24,0.18401234266509006,0.18856619594260038,0.004553853277510317,1,1,1.0753643742095877
d082cc9361c2718a,2,13,0.15111471781556624,0.1839284986631094,0.03281378084754316,1,1,1.2787862044898037
2696a25ae5710f3b,2,13,0.2496400256785796,0.2556408354704485,0.006000809791868927,1,1,1.07349309919028
4f3c25585d5b5eb0,1,27,0.18355340504213316,0.20236086882892704,0.018807463786793877,1,1,1.08505009101906
b6241bfe36759cf5,2,4,0.26722539635082365,0.30591083929731544,0.03868544294649179,1,1,1.5591638438236766
aa3e67d050ad91ee,3,5,0.25931749676261995,0.3033393679254735,0.044021871162853554,1,1,1.3609322216840785
6f9f3f7a4751c784,2,18,0.2774453788632607,0.29527751755334664,0.01783213869008593,1,1,1.0946855453649056
0ae0173822bfe687,3,4,0.19758936475640437,0.29173715876622636,0.09414779400982198,1,1,1.0350273386595144
4dfa117689129974,3,4,0.2396237251020331,0.26705162507910396,0.027427899977070846,1,1,1.226014383266523
5a304ff2397e91cb,2,31,0.20189543975822552,0.20427583283093836,0.002380393072712844,1,1,1.2586637605383497
1d5592fc5df245eb,3,9,0.33637030721632616,0.38574650285044315,0.04937619563411699,1,1,1.1690182353737646
e4540cafc2da952d,2,30,0.2791001315076516,0.2858729050537594,0.00677277354610778,1,1,1.0994042727261724
60a0a851807ed95d,3,3,0.28584555155165753,0.2881767203932701,0.002331168841612552,1,1,1.206871494862485
cd45bd99eeb4f170,2,29,0.2820559659513506,0.2814929730006721,-0.0005629929506784648,1,0,1.0093626057361356
888452f43441415c,3,2,0.19405600111472993,0.22787473554038978,0.03381873442565986,1,1,1.8924761133967294
0fc2a64ad5807482,3,6,0.20490720082488603,0.28197019734174594,0.07706299651685991,1,1,1.1637349485190303
7272e2242f5866f7,3,4,0.19444366624549597,0.23698315626455818,0.04253949001906221,1,1,1.4790285851561025
c58d98d368c912a8,2,31,0.2821365099298861,0.29603678823834984,0.013900278308463743,1,1,1.0074706583871247
c474d3c5a531cb8f,3,3,0.16323111470137885,0.23976198531257586,0.07653087061119701,1,1,1.0145409047447114
de96e5586a8850d5,1,28,0.17081581392010325,0.1739770674818756,0.0031612535617723536,1,1,1.1026313572129787
a19dc4e8a3ac83a2,2,11,0.1681977646012201,0.23239966293730216,0.06420189833608206,1,1,1.0428954132763062
9a80b0e4ed361240,2,53,0.2759940112515258,0.2961380654264915,0.02014405417496573,1,1,1.0577556290363894
4bd7cebf59668e88,2,9,0.28469054176544084,0.28061876845355593,-0.0040717733118849075,1,0,1.092020039486617
b309f207a7b9e77b,2,37,0.27097620334819306,0.3109578488628328,0.03998164551463973,1,1,1.0274408295502644
27cb31445b381713,3,2,0.15330005037595898,0.002532383400180749,-0.15076766697577823,1,0,3.6641673343032783
fc246e772e7c155f,4,2,0.05605775510958586,6.96917093723215e-06,-0.05605078593864863,1,0,4.946047280031575
fde18b59b913ebd4,2,28,0.2875107972983077,0.30713556513114215,0.019624767832834455,1,1,1.0253765901682903
44758cd131656705,3,8,0.1681839899476908,0.19150673383462727,0.023322743886936476,1,1,1.1615532492951726
8abaadcc1582518d,2,141,0.2536435965617477,0.2741241875480833,0.020480590986335645,1,1,1.071738175571413
b0ce12ec5e1ae9e5,3,5,0.28899174374401254,0.27443840148311643,-0.014553342260896107,1,0,1.196583948665539
822a9aefd9cdf07a,2,6,0.23315088702246647,0.2752373146945606,0.04208642767209411,1,1,1.125217945298036
1fdf68837eaccd39,1,25,0.23015510086827817,0.2648354782394124,0.03468037737113422,1,1,1.0194134486515916
e31a2a8f575c0dee,2,24,0.17052516254701225,0.20001969835027,0.029494535803257754,1,1,1.2404535279974591
e4d69ff4cbf4f087,3,3,0.10280273533608981,0.0828267931781992,-0.019975942157890614,1,0,2.122289806024376
7b3bdb91a49ac267,5,4,0.0,-0.00031449488441604584,-0.00031449488441604584,1,0,1.0
d3c25d79bd66ebb9,3,4,0.31618056371795156,0.36690480605193493,0.05072424233398337,1,1,1.228760948086338
be82544d846694c4,2,10,0.20629958871831558,0.25552755164187263,0.04922796292355705,1,1,1.138526375077977
451f736816ab48f1,3,3,0.26670274663388943,0.3567670866437078,0.09006434000981839,1,1,1.2200855145725327
d21bd5e96a877032,2,74,0.2673749089514798,0.288749640864949,0.02137473191346917,1,1,1.0457370019925476
3c8548b11b3879b9,3,2,0.28404315329956265,0.28404315329956265,0.0,1,0,1.0
88939ee832a35d2d,2,5,0.20905574542654404,0.21989010391176073,0.010834358485216689,1,1,1.4549017650488545
e7e56eb41035b85d,3,2,0.18480346851282617,0.21844785679478812,0.03364438828196195,1,1,1.1787953605026387
046b3438345bc256,2,8,0.19606986721920924,0.23650160152100413,0.04043173430179489,1,1,1.145539750653906
b06ece00032736e7,3,2,0.20540317378878703,0.2296163587905199,0.024213185001732862,1,1,1.4623023313357186
13e648f2b3e891f2,2,7,0.19688120589872013,0.2575420227159099,0.060660816817189794,1,1,1.1577493061371176
