epoch,train_loss,epoch_train_time_seconds,epoch_train_time_hhmmss,validation_inference_time_seconds,validation_recall_at_5,validation_ndcg_at_5,validation_recall_at_10,validation_ndcg_at_10
1,5.683775337083995,2870,00:47:50,,,,,
2,3.8699284619755216,2740,00:45:40,,,,,
3,2.8990983143013125,2780,00:46:20,,,,,
4,2.4493778680151665,2827,00:47:07,,,,,
5,2.1832957700504894,2811,00:46:51,3143.47,0.07459303523593654,0.05498584416605969,0.09906243560684112,0.06287232733216870
6,2.0037404279088418,2882,00:48:02,,,,,
7,1.8734135421047433,2850,00:47:30,,,,,
8,1.7741662496188928,2816,00:46:56,,,,,
9,1.6957844812967624,3134,00:52:14,,,,,
10,1.6322323240383327,3101,00:51:41,7872.26,0.08391716464042860,0.06088610399549858,0.11214712548938800,0.07003984054840615
11,1.581205010780117,3117,00:51:57,,,,,
12,1.534860336248986,3093,00:51:33,,,,,
13,1.4962981880059716,3116,00:51:56,,,,,
14,1.46092741813576,3124,00:52:04,,,,,
15,1.4299038692698842,3119,00:51:59,6660.99,0.08736863795590356,0.06377723150391451,0.11698949103647228,0.07333245537404120
16,1.4019602213512388,2870,00:47:50,,,,,
17,1.3754832709829012,3079,00:51:19,,,,,
18,1.3513279558448066,3187,00:53:07,,,,,
19,1.3273142743528934,2861,00:47:41,,,,,
20,1.3052685162390185,2784,00:46:24,3037.13,0.08948073356686585,0.06632569590172700,0.11817432515969503,0.07556448972204917
21,1.283723283023165,2966,00:49:26,,,,,
22,1.2644433618288988,3487,00:58:07,,,,,
23,1.2473809902692399,2939,00:48:59,,,,,
24,1.2282119817378228,2830,00:47:10,,,,,
25,1.213628789564671,2797,00:46:37,3066.21,0.08912013187718937,0.06583459267331186,0.11868947043066144,0.07533674521580169
26,1.1986395485045618,2761,00:46:01,,,,,
27,1.1854410429185593,2758,00:45:58,,,,,
28,1.173222943783155,2782,00:46:22,,,,,
29,1.1655497180613859,2771,00:46:11,,,,,
30,1.1582025722453468,2793,00:46:33,3035.40,0.09092314032557180,0.06713487106644757,0.11941067381001443,0.07627451426000033
