epoch,validation_recall_at_5,validation_ndcg_at_5,validation_recall_at_10,validation_ndcg_at_10,checkpoint_path,size_bytes,selected,selection_reason,sha256
5,0.07459303523593654,0.05498584416605969,0.09906243560684112,0.06287232733216870,GRAM/log/Toys/1_20260720_1830/id_0_rec_30/model_rec_phase_1_epoch_5.pt,242132665,false,,
10,0.08391716464042860,0.06088610399549858,0.11214712548938800,0.07003984054840615,GRAM/log/Toys/1_20260720_1830/id_0_rec_30/model_rec_phase_1_epoch_10.pt,242132665,false,,
15,0.08736863795590356,0.06377723150391451,0.11698949103647228,0.07333245537404120,GRAM/log/Toys/1_20260720_1830/id_0_rec_30/model_rec_phase_1_epoch_15.pt,242132665,false,,
20,0.08948073356686585,0.06632569590172700,0.11817432515969503,0.07556448972204917,GRAM/log/Toys/1_20260720_1830/id_0_rec_30/model_rec_phase_1_epoch_20.pt,242132665,false,,
25,0.08912013187718937,0.06583459267331186,0.11868947043066144,0.07533674521580169,GRAM/log/Toys/1_20260720_1830/id_0_rec_30/model_rec_phase_1_epoch_25.pt,242132665,false,,
30,0.09092314032557180,0.06713487106644757,0.11941067381001443,0.07627451426000033,GRAM/log/Toys/1_20260720_1830/id_0_rec_30/model_rec_phase_1_epoch_30.pt,242132665,true,highest validation NDCG@10,b0d76ea4da9a40b1be43c55c1c7e20cdca4e1eff0194acbbe1b3cc15f471fd82
