dataset,dimension,stratum,metric,n,effect,ci95_low,ci95_high,interval_method
Toys,transition_covered,1,C_rank_change_vs_A,255,0.12156862745098039,-0.4470588235294118,0.7333333333333333,bootstrap seed=2023 B=10000
Toys,transition_covered,1,C_minus_B_rank_change,255,0.4588235294117647,-0.16862745098039217,1.1372549019607843,bootstrap seed=2023 B=10000
Toys,transition_covered,1,B_broad_harm,255,0.01568627450980392,0.00392156862745098,0.03137254901960784,bootstrap seed=2023 B=10000
Toys,transition_covered,1,C_broad_harm,255,0.03137254901960784,0.011764705882352941,0.054901960784313725,bootstrap seed=2023 B=10000
Beauty,target_group,head,C_minus_B_kendall,128,-0.018609693877551018,-0.031174107142857142,-0.005610650510204103,bootstrap seed=2023 B=10000
Beauty,target_group,head,B_rank_change_vs_A,128,-0.3203125,-1.1640625,0.3046875,bootstrap seed=2023 B=10000
Beauty,target_group,head,C_rank_change_vs_A,128,0.1015625,-0.5234375,0.7109375,bootstrap seed=2023 B=10000
Beauty,target_group,head,C_minus_B_rank_change,128,0.421875,-0.5078125,1.5,bootstrap seed=2023 B=10000
Beauty,target_group,head,B_broad_harm,128,0.015625,0.0,0.0390625,bootstrap seed=2023 B=10000
Beauty,target_group,head,C_broad_harm,128,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Beauty,target_group,tail,C_minus_B_kendall,128,-0.01892857142857143,-0.0313265306122449,-0.006237244897959185,bootstrap seed=2023 B=10000
Beauty,target_group,tail,B_rank_change_vs_A,128,0.0,-0.2578125,0.3125,bootstrap seed=2023 B=10000
Beauty,target_group,tail,C_rank_change_vs_A,128,-0.125,-0.3359375,0.046875,bootstrap seed=2023 B=10000
Beauty,target_group,tail,C_minus_B_rank_change,128,-0.125,-0.46875,0.15625,bootstrap seed=2023 B=10000
Beauty,target_group,tail,B_broad_harm,128,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Beauty,target_group,tail,C_broad_harm,128,0.0,0.0,0.0,bootstrap seed=2023 B=10000
Beauty,history_group,short,C_minus_B_kendall,147,-0.01755935027072053,-0.02884381507705123,-0.0058972650284603665,bootstrap seed=2023 B=10000
Beauty,history_group,short,B_rank_change_vs_A,147,0.006802721088435374,-0.3333333333333333,0.32653061224489793,bootstrap seed=2023 B=10000
Beauty,history_group,short,C_rank_change_vs_A,147,-0.07482993197278912,-0.54421768707483,0.3469387755102041,bootstrap seed=2023 B=10000
Beauty,history_group,short,C_minus_B_rank_change,147,-0.08163265306122448,-0.6258503401360545,0.40816326530612246,bootstrap seed=2023 B=10000
Beauty,history_group,short,B_broad_harm,147,0.006802721088435374,0.0,0.02040816326530612,bootstrap seed=2023 B=10000
Beauty,history_group,short,C_broad_harm,147,0.0,0.0,0.0,bootstrap seed=2023 B=10000
