dataset,family,metric,n,estimate,ci95_low,ci95_high,method,median,count_positive,count_negative,count_zero
Toys,alignment,C_minus_B_kendall,256,-0.008156887755102041,-0.017717315051020407,0.0017857142857142854,paired bootstrap seed=2023 resamples=10000,-0.014693877551020404,113,142,1
Toys,realization,B_rank_change_vs_A_teacher_exclusive,6,0.0,0.0,0.0,paired bootstrap seed=2023 resamples=10000,,,,
Toys,realization,C_rank_change_vs_A_teacher_exclusive,6,0.0,0.0,0.0,paired bootstrap seed=2023 resamples=10000,,,,
Beauty,alignment,C_minus_B_kendall,256,-0.018769132653061224,-0.027697704081632652,-0.009731505102040827,paired bootstrap seed=2023 resamples=10000,-0.020408163265306124,98,154,4
Beauty,realization,B_rank_change_vs_A_teacher_exclusive,14,1.9285714285714286,0.0,4.785714285714286,paired bootstrap seed=2023 resamples=10000,,,,
Beauty,realization,C_rank_change_vs_A_teacher_exclusive,14,0.21428571428571427,0.0,0.6428571428571429,paired bootstrap seed=2023 resamples=10000,,,,
