timestamp,index,memory_used_mib,memory_free_mib,utilization_gpu_percent,dataset
2026/08/02 15:53:44.169, 0, 5, 48566, 0,
2026/08/02 15:53:49.209, 0, 722, 47848, 8,
2026/08/02 15:53:54.247, 0, 2200, 46370, 6,
2026/08/02 15:53:59.286, 0, 9094, 39476, 32,
2026/08/02 15:54:04.336, 0, 13494, 35076, 38,
2026/08/02 15:54:09.373, 0, 20094, 28476, 49,
2026/08/02 15:54:14.414, 0, 5, 48566, 0,
2026/08/02 15:54:19.453, 0, 1544, 47026, 6,
2026/08/02 15:54:24.493, 0, 2224, 46346, 0,
2026/08/02 15:54:29.524, 0, 16580, 31990, 36,
2026/08/02 15:54:34.588, 0, 23180, 25390, 56,
2026/08/02 15:54:39.626, 0, 23180, 25390, 48,
