timestamp,index,memory_used_mib,memory_free_mib,utilization_gpu_percent,dataset
2026/08/02 15:57:24.706, 0, 5, 48566, 0,
2026/08/02 15:57:29.756, 0, 9150, 39421, 8,
2026/08/02 15:57:34.794, 0, 10460, 38111, 60,
2026/08/02 15:57:39.861, 0, 5, 48566, 0,
2026/08/02 15:57:44.902, 0, 5548, 43023, 4,
2026/08/02 15:57:49.939, 0, 6620, 41951, 0,
