user,stratum,history_length,lp_current,lp_metadata_first_full,lp_metadata_first_minus_all_recovered,lp_metadata_first_minus_recovered_slice8,lp_metadata_first_minus_matched_visible_slice8,net_reallocation,recovered_all_contribution,residual_layout_effect,recovered_slice8_contribution,matched_visible_slice8_contribution
AIB5B9WTNVEKC,tail_hit,5,-0.7961300015449524,-1.06108558177948,-0.9783901572227478,-1.096520185470581,-1.0614817142486572,-0.2649555802345276,-0.08269542455673218,-0.1822601556777954,0.035434603691101074,0.0003961324691772461
A08409921GVN7C8RD97CV,tail_hit,3,-0.5785069465637207,-1.845191240310669,-1.8247482776641846,-1.7980775833129883,-1.856441855430603,-1.2666842937469482,-0.020442962646484375,-1.2462413311004639,-0.047113656997680664,0.011250615119934082
A17S9Q2RZW4NVJ,tail_hit,3,-0.6913447976112366,-1.453098177909851,-1.3580254316329956,-1.4102610349655151,-1.4677150249481201,-0.7617533802986145,-0.09507274627685547,-0.666680634021759,-0.04283714294433594,0.014616847038269043
A1CBCTJ0VF4RI1,tail_hit,3,-0.765282154083252,-0.9032844305038452,-0.6895268559455872,-0.9383764863014221,-0.9059877395629883,-0.13800227642059326,-0.21375757455825806,0.0757552981376648,0.035092055797576904,0.0027033090591430664
A2A5DGNAJRHSH,tail_hit,5,-0.28772348165512085,-2.1335957050323486,-2.550307512283325,-2.199507713317871,-2.2161924839019775,-1.8458722233772278,0.41671180725097656,-2.2625840306282043,0.06591200828552246,0.0825967788696289
A23RZIU0N8K2KR,tail_hit,20,-0.7567293643951416,-0.5046192407608032,-0.4638272225856781,-0.49428269267082214,-0.5069575905799866,0.2521101236343384,-0.04079201817512512,0.2929021418094635,-0.010336548089981079,0.0023383498191833496
A2UXV0M5RRYT0L,tail_hit,3,-0.8186981081962585,-0.8323630690574646,-0.9101138710975647,-0.8356954455375671,-0.8216182589530945,-0.013664960861206055,0.0777508020401001,-0.09141576290130615,0.003332376480102539,-0.010744810104370117
A2900PFIZYAJ0H,tail_hit,3,-0.11720112711191177,-2.2248728275299072,-2.26653790473938,-2.334068775177002,-2.2705435752868652,-2.1076717004179955,0.041665077209472656,-2.149336777627468,0.10919594764709473,0.04567074775695801
A1RLP0R1N8H8C4,tail_hit,11,-0.8494237065315247,-2.103759288787842,-2.1851582527160645,-2.092716932296753,-2.0986738204956055,-1.2543355822563171,0.08139896392822266,-1.3357345461845398,-0.011042356491088867,-0.005085468292236328
A3G3UIABN8BEFH,tail_hit,3,-0.074092797935009,-2.4994728565216064,-2.4327499866485596,-2.4781811237335205,-2.498168468475342,-2.4253800585865974,-0.06672286987304688,-2.3586571887135506,-0.021291732788085938,-0.0013043880462646484
AZKN9KO2ECFFZ,tail_hit,5,-0.1315697431564331,-0.28264468908309937,-0.1529100239276886,-0.2687603831291199,-0.2504092752933502,-0.15107494592666626,-0.12973466515541077,-0.021340280771255493,-0.013884305953979492,-0.032235413789749146
AQNNNYLDZEY2H,tail_hit,4,-0.7904810905456543,-0.8909878730773926,-1.021470546722412,-0.8693994879722595,-0.8871215581893921,-0.10050678253173828,0.13048267364501953,-0.2309894561767578,-0.021588385105133057,-0.0038663148880004883
ASYVI9TLV4WPI,tail_hit,3,-0.5753403306007385,-0.8029073476791382,-0.5753198266029358,-0.8021594285964966,-0.8333330750465393,-0.22756701707839966,-0.2275875210762024,2.0503997802734375e-05,-0.0007479190826416016,0.030425727367401123
A3AHOSISKNBLZ6,tail_hit,14,-0.033861346542835236,-5.099911212921143,-5.249519348144531,-5.22696590423584,-5.090928554534912,-5.066049866378307,0.14960813522338867,-5.215658001601696,0.12705469131469727,-0.008982658386230469
A1R75AU7A2K4VR,tail_hit,3,-0.7474482655525208,-0.9884284138679504,-0.9441626667976379,-0.9687979817390442,-0.9328163266181946,-0.2409801483154297,-0.0442657470703125,-0.1967144012451172,-0.01963043212890625,-0.05561208724975586
A1HFSY6W8LJNJM,tail_hit,9,-0.30396077036857605,-16.622472763061523,-16.83219337463379,-16.694791793823242,-16.682222366333008,-16.318511992692947,0.20972061157226562,-16.528232604265213,0.07231903076171875,0.059749603271484375
ADJGWYUDUXXB7,tail_hit,3,-0.20495903491973877,-3.5320935249328613,-3.1859729290008545,-3.532639741897583,-3.456622838973999,-3.3271344900131226,-0.34612059593200684,-2.9810138940811157,0.0005462169647216797,-0.0754706859588623
